종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
20,동화약품 ,13900,100,0.72,1033,13.46,11860,1.17,180,1.29
40,KR모터스 ,956,-16,-1.65,,,396,2.41,0,0
50,경방 ,13600,-150,-1.09,499,27.25,27063,0.5,125,0.92
60,메리츠화재 ,29350,300,1.03,3856,7.61,22175,1.32,1280,4.36
70,삼양홀딩스 ,101000,-2500,-2.42,13218,7.64,171357,0.59,2250,2.23
75,삼양홀딩스우 ,69800,-100,-0.14,,,,,2300,3.3
80,하이트진로 ,33250,-300,-0.89,1246,26.69,15067,2.21,750,2.26
87,하이트진로2우B ,20000,100,0.5,,,,,800,4
100,유한양행 ,60200,400,0.67,2943,20.46,25880,2.33,400,0.66
105,유한양행우 ,58500,0,0,,,,,410,0.7
120,CJ대한통운 ,137500,1000,0.73,5683,24.19,146331,0.94,0,0
140,하이트진로홀딩스 ,13800,0,0,3014,4.58,20817,0.66,400,2.9
145,하이트진로홀딩스우 ,16000,-250,-1.54,,,,,450,2.81
150,두산 ,126000,-7000,-5.26,,,77507,1.63,2000,1.59
155,두산우 ,77500,-4500,-5.49,,,,,2050,2.65
157,두산2우B ,116500,-1000,-0.85,,,,,2000,1.72
180,성창기업지주 ,2445,-5,-0.2,78,31.35,7637,0.32,0,0
210,DL ,61600,200,0.33,13077,4.71,67178,0.92,1300,2.11
215,DL우 ,37750,-150,-0.4,,,,,1350,3.58
220,유유제약 ,6840,-50,-0.73,84,81.43,6360,1.08,210,3.07
225,유유제약1우 ,9170,-50,-0.54,,,,,220,2.4
227,유유제약2우B ,18700,-300,-1.58,,,,,0,0
230,일동홀딩스 ,13500,-400,-2.88,,,10633,1.27,100,0.74
240,한국앤컴퍼니 ,16450,250,1.54,1848,8.9,36437,0.45,500,3.04
250,삼천당제약 ,45500,200,0.44,,,8197,5.55,0,0
270,기아 ,85700,1900,2.27,3710,23.1,73740,1.16,1000,1.17
300,대유플러스 ,1655,90,5.75,,,825,2.01,0,0
320,노루홀딩스 ,12950,-250,-1.89,1343,9.64,27547,0.47,450,3.47
325,노루홀딩스우 ,42200,-300,-0.71,,,,,455,1.08
370,한화손해보험 ,4055,5,0.12,315,12.87,14390,0.28,0,0
390,삼화페인트 ,9590,-150,-1.54,294,32.62,10862,0.88,150,1.56
400,롯데손해보험 ,1770,-5,-0.28,,,3050,0.58,0,0
