종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
20,동화약품 ,14500,-50,-0.34,1033,14.04,11860,1.22,180,1.24
40,KR모터스 ,998,13,1.32,,,396,2.52,0,0
50,경방 ,13800,0,0,499,27.66,27063,0.51,125,0.91
60,메리츠화재 ,29700,500,1.71,3856,7.7,22175,1.34,1280,4.31
70,삼양홀딩스 ,108000,6500,6.4,13218,8.17,171357,0.63,2250,2.08
75,삼양홀딩스우 ,70100,1300,1.89,,,,,2300,3.28
80,하이트진로 ,34200,-150,-0.44,1246,27.45,15067,2.27,750,2.19
87,하이트진로2우B ,20250,0,0,,,,,800,3.95
100,유한양행 ,59900,-300,-0.5,2943,20.35,25880,2.31,400,0.67
105,유한양행우 ,58700,0,0,,,,,410,0.7
120,CJ대한통운 ,140500,500,0.36,5683,24.72,146331,0.96,0,0
140,하이트진로홀딩스 ,14100,-150,-1.05,3014,4.68,20817,0.68,400,2.84
145,하이트진로홀딩스우 ,16600,50,0.3,,,,,450,2.71
150,두산 ,138000,500,0.36,,,77507,1.78,2000,1.45
155,두산우 ,84900,200,0.24,,,,,2050,2.41
157,두산2우B ,127000,500,0.4,,,,,2000,1.57
180,성창기업지주 ,2515,-10,-0.4,78,32.24,7637,0.33,0,0
210,DL ,63800,-1000,-1.54,13077,4.88,67178,0.95,1300,2.04
215,DL우 ,39000,-350,-0.89,,,,,1350,3.46
220,유유제약 ,7030,-120,-1.68,84,83.69,6360,1.11,210,2.99
225,유유제약1우 ,9340,-220,-2.3,,,,,220,2.36
227,유유제약2우B ,19500,-550,-2.74,,,,,0,0
230,일동홀딩스 ,13850,-150,-1.07,,,10633,1.3,100,0.72
240,한국앤컴퍼니 ,17100,-250,-1.44,1848,9.25,36437,0.47,500,2.92
250,삼천당제약 ,45950,-1750,-3.67,,,8197,5.61,0,0
270,기아 ,84200,-2300,-2.66,3710,22.7,73740,1.14,1000,1.19
300,대유플러스 ,1565,40,2.62,,,825,1.9,0,0
320,노루홀딩스 ,13000,100,0.78,1343,9.68,27547,0.47,450,3.46
325,노루홀딩스우 ,42800,-850,-1.95,,,,,455,1.06
370,한화손해보험 ,4190,15,0.36,315,13.3,14390,0.29,0,0
390,삼화페인트 ,10000,-100,-0.99,294,34.01,10862,0.92,150,1.5
400,롯데손해보험 ,1825,0,0,,,3050,0.6,0,0
430,대원강업 ,3995,-95,-2.32,,,7487,0.53,100,2.5
440,중앙에너비스 ,16800,100,0.6,4144,4.05,9893,1.7,480,2.86
480,조선내화 ,88300,-100,-0.11,10421,8.47,154303,0.57,4200,4.76
490,대동 ,10100,-100,-0.98,985,10.25,13301,0.76,80,0.79
500,가온전선 ,25900,-200,-0.77,2418,10.71,63351,0.41,600,2.32
520,삼일제약 ,7900,-20,-0.25,110,71.82,4746,1.66,75,0.95
540,흥국화재 ,3815,-60,-1.55,268,14.24,11107,0.34,0,0
545,흥국화재우 ,8460,0,0,,,,,0,0
547,흥국화재2우B ,27400,100,0.37,,,,,0,0
590,CS홀딩스 ,62600,-400,-0.63,6657,9.4,210057,0.3,500,0.8
640,동아쏘시오홀딩스 ,104500,-1000,-0.95,26725,3.91,144380,0.72,1000,0.96
650,천일고속 ,66200,-800,-1.19,,,26545,2.49,3000,4.53
660,SK하이닉스 ,112000,1000,0.9,6952,16.11,71275,1.57,1170,1.04
670,영풍 ,684000,-14000,-2.01,77108,8.87,1803019,0.38,10000,1.46
680,LS네트웍스 ,3245,-40,-1.22,,,6258,0.52,0,0
700,유수홀딩스 ,5900,160,2.79,3202,1.84,11744,0.5,500,8.47
720,현대건설 ,50200,-600,-1.18,1067,47.05,57894,0.87,600,1.2
725,현대건설우 ,80500,-2400,-2.9,,,,,650,0.81
760,이화산업 ,15850,-100,-0.63,,,35475,0.45,0,0
810,삼성화재 ,229000,-500,-0.22,17760,12.89,321574,0.71,8800,3.84
815,삼성화재우 ,177000,1000,0.57,,,,,8805,4.97
