종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
20,동화약품 ,14350,-550,-3.69,1033,13.89,11860,1.21,180,1.25
40,KR모터스 ,985,-3,-0.3,,,396,2.49,0,0
50,경방 ,13650,-200,-1.44,499,27.35,27063,0.5,125,0.92
60,메리츠화재 ,29850,-150,-0.5,3856,7.74,22175,1.35,1280,4.29
70,삼양홀딩스 ,102500,-1000,-0.97,13218,7.75,171357,0.6,2250,2.2
75,삼양홀딩스우 ,67700,0,0,,,,,2300,3.4
80,하이트진로 ,34350,-450,-1.29,1246,27.57,15067,2.28,750,2.18
87,하이트진로2우B ,20700,-50,-0.24,,,,,800,3.86
100,유한양행 ,60300,100,0.17,2943,20.49,25880,2.33,400,0.66
105,유한양행우 ,58600,100,0.17,,,,,410,0.7
120,CJ대한통운 ,141000,-2500,-1.74,5683,24.81,146331,0.96,0,0
140,하이트진로홀딩스 ,14650,0,0,3014,4.86,20817,0.7,400,2.73
145,하이트진로홀딩스우 ,17250,-150,-0.86,,,,,450,2.61
150,두산 ,140000,7500,5.66,,,77507,1.81,2000,1.43
155,두산우 ,85500,2100,2.52,,,,,2050,2.4
157,두산2우B ,132000,2000,1.54,,,,,2000,1.52
180,성창기업지주 ,2570,-25,-0.96,78,32.95,7637,0.34,0,0
210,DL ,65300,200,0.31,13077,4.99,67178,0.97,1300,1.99
215,DL우 ,40400,-600,-1.46,,,,,1350,3.34
220,유유제약 ,7060,-50,-0.7,84,84.05,6360,1.11,210,2.97
225,유유제약1우 ,9620,-140,-1.43,,,,,220,2.29
227,유유제약2우B ,21350,-400,-1.84,,,,,0,0
230,일동홀딩스 ,13050,-200,-1.51,,,10633,1.23,100,0.77
240,한국앤컴퍼니 ,17450,-150,-0.85,1848,9.44,36437,0.48,500,2.87
250,삼천당제약 ,49450,850,1.75,,,8197,6.03,0,0
270,기아 ,87000,-1100,-1.25,3710,23.45,73740,1.18,1000,1.15
300,대유플러스 ,1505,-55,-3.53,,,825,1.82,0,0
320,노루홀딩스 ,12900,-50,-0.39,1343,9.61,27547,0.47,450,3.49
325,노루홀딩스우 ,47550,-2450,-4.9,,,,,455,0.96
370,한화손해보험 ,4275,-85,-1.95,315,13.57,14390,0.3,0,0
390,삼화페인트 ,10550,300,2.93,294,35.88,10862,0.97,150,1.42
400,롯데손해보험 ,1860,5,0.27,,,3050,0.61,0,0
430,대원강업 ,4100,0,0,,,7487,0.55,100,2.44
440,중앙에너비스 ,18350,-450,-2.39,4144,4.43,9893,1.85,480,2.62
480,조선내화 ,87700,-400,-0.45,10421,8.42,154303,0.57,4200,4.79
490,대동 ,10200,-100,-0.97,985,10.36,13301,0.77,80,0.78
500,가온전선 ,27950,200,0.72,2418,11.56,63351,0.44,600,2.15
520,삼일제약 ,7960,-40,-0.5,110,72.36,4746,1.68,75,0.94
540,흥국화재 ,3880,-20,-0.51,268,14.48,11107,0.35,0,0
545,흥국화재우 ,8420,-70,-0.82,,,,,0,0
547,흥국화재2우B ,26900,-600,-2.18,,,,,0,0
590,CS홀딩스 ,62800,-900,-1.41,6657,9.43,210057,0.3,500,0.8
640,동아쏘시오홀딩스 ,106000,500,0.47,26725,3.97,144380,0.73,1000,0.94
650,천일고속 ,68600,200,0.29,,,26545,2.58,3000,4.37
660,SK하이닉스 ,109000,1500,1.4,6952,15.68,71275,1.53,1170,1.07
670,영풍 ,698000,12000,1.75,77108,9.05,1803019,0.39,10000,1.43
680,LS네트웍스 ,3290,-50,-1.5,,,6258,0.53,0,0
700,유수홀딩스 ,5840,-10,-0.17,3202,1.82,11744,0.5,500,8.56
