종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
20,동화약품 ,13800,-250,-1.78,1033,13.36,11860,1.16,180,1.3
40,KR모터스 ,972,-1,-0.1,,,396,2.45,0,0
50,경방 ,13750,50,0.36,499,27.56,27063,0.51,125,0.91
60,메리츠화재 ,29050,100,0.35,3856,7.53,22175,1.31,1280,4.41
70,삼양홀딩스 ,103500,0,0,13218,7.83,171357,0.6,2250,2.17
75,삼양홀딩스우 ,69900,-200,-0.29,,,,,2300,3.29
80,하이트진로 ,33550,700,2.13,1246,26.93,15067,2.23,750,2.24
87,하이트진로2우B ,19900,100,0.51,,,,,800,4.02
100,유한양행 ,59800,1000,1.7,2943,20.32,25880,2.31,400,0.67
105,유한양행우 ,58500,200,0.34,,,,,410,0.7
120,CJ대한통운 ,136500,500,0.37,5683,24.02,146331,0.93,0,0
140,하이트진로홀딩스 ,13800,150,1.1,3014,4.58,20817,0.66,400,2.9
145,하이트진로홀딩스우 ,16250,150,0.93,,,,,450,2.77
150,두산 ,133000,-9500,-6.67,,,77507,1.72,2000,1.5
155,두산우 ,82000,-2600,-3.07,,,,,2050,2.5
157,두산2우B ,117500,-3500,-2.89,,,,,2000,1.7
180,성창기업지주 ,2450,-25,-1.01,78,31.41,7637,0.32,0,0
210,DL ,61400,-100,-0.16,13077,4.7,67178,0.91,1300,2.12
215,DL우 ,37900,-300,-0.79,,,,,1350,3.56
220,유유제약 ,6890,60,0.88,84,82.02,6360,1.08,210,3.05
225,유유제약1우 ,9220,-70,-0.75,,,,,220,2.39
227,유유제약2우B ,19000,-200,-1.04,,,,,0,0
230,일동홀딩스 ,13900,-100,-0.71,,,10633,1.31,100,0.72
240,한국앤컴퍼니 ,16200,-100,-0.61,1848,8.77,36437,0.44,500,3.09
250,삼천당제약 ,45300,1050,2.37,,,8197,5.53,0,0
270,기아 ,83800,700,0.84,3710,22.59,73740,1.14,1000,1.19
300,대유플러스 ,1565,70,4.68,,,825,1.9,0,0
320,노루홀딩스 ,13200,0,0,1343,9.83,27547,0.48,450,3.41
325,노루홀딩스우 ,42500,-700,-1.62,,,,,455,1.07
370,한화손해보험 ,4050,-40,-0.98,315,12.86,14390,0.28,0,0
390,삼화페인트 ,9740,-200,-2.01,294,33.13,10862,0.9,150,1.54
400,롯데손해보험 ,1775,-20,-1.11,,,3050,0.58,0,0
430,대원강업 ,4010,55,1.39,,,7487,0.54,100,2.49
440,중앙에너비스 ,16000,-100,-0.62,4144,3.86,9893,1.62,480,3
480,조선내화 ,85300,-1700,-1.95,10421,8.19,154303,0.55,4200,4.92
490,대동 ,9760,-110,-1.11,985,9.91,13301,0.73,80,0.82
