종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
20,동화약품 ,14900,50,0.34,1033,14.42,11860,1.26,180,1.21
40,KR모터스 ,988,-9,-0.9,,,396,2.49,0,0
50,경방 ,13850,150,1.09,499,27.76,27063,0.51,125,0.9
60,메리츠화재 ,30000,450,1.52,3856,7.78,22175,1.35,1280,4.27
70,삼양홀딩스 ,103500,-2000,-1.9,13218,7.83,171357,0.6,2250,2.17
75,삼양홀딩스우 ,67700,-200,-0.29,,,,,2300,3.4
80,하이트진로 ,34800,1350,4.04,1246,27.93,15067,2.31,750,2.16
87,하이트진로2우B ,20750,300,1.47,,,,,800,3.86
100,유한양행 ,60200,-400,-0.66,2943,20.46,25880,2.33,400,0.66
105,유한양행우 ,58500,-500,-0.85,,,,,410,0.7
120,CJ대한통운 ,143500,-1000,-0.69,5683,25.25,146331,0.98,0,0
140,하이트진로홀딩스 ,14650,300,2.09,3014,4.86,20817,0.7,400,2.73
145,하이트진로홀딩스우 ,17400,0,0,,,,,450,2.59
150,두산 ,132500,-1000,-0.75,,,77507,1.71,2000,1.51
155,두산우 ,83400,500,0.6,,,,,2050,2.46
157,두산2우B ,130000,-2500,-1.89,,,,,2000,1.54
180,성창기업지주 ,2595,70,2.77,78,33.27,7637,0.34,0,0
210,DL ,65100,1200,1.88,13077,4.98,67178,0.97,1300,2
215,DL우 ,41000,1100,2.76,,,,,1350,3.29
220,유유제약 ,7110,-190,-2.6,84,84.64,6360,1.12,210,2.95
225,유유제약1우 ,9760,-200,-2.01,,,,,220,2.25
227,유유제약2우B ,21750,-450,-2.03,,,,,0,0
230,일동홀딩스 ,13250,-150,-1.12,,,10633,1.25,100,0.75
240,한국앤컴퍼니 ,17600,300,1.73,1848,9.52,36437,0.48,500,2.84
250,삼천당제약 ,48600,-1800,-3.57,,,8197,5.93,0,0
270,기아 ,88100,100,0.11,3710,23.75,73740,1.19,1000,1.14
300,대유플러스 ,1560,105,7.22,,,825,1.89,0,0
320,노루홀딩스 ,12950,550,4.44,1343,9.64,27547,0.47,450,3.47
325,노루홀딩스우 ,50000,2000,4.17,,,,,455,0.91
370,한화손해보험 ,4360,65,1.51,315,13.84,14390,0.3,0,0
390,삼화페인트 ,10250,620,6.44,294,34.86,10862,0.94,150,1.46
400,롯데손해보험 ,1855,10,0.54,,,3050,0.61,0,0
430,대원강업 ,4100,30,0.74,,,7487,0.55,100,2.44
440,중앙에너비스 ,18800,1000,5.62,4144,4.54,9893,1.9,480,2.55
480,조선내화 ,88100,100,0.11,10421,8.45,154303,0.57,4200,4.77
490,대동 ,10300,410,4.15,985,10.46,13301,0.77,80,0.78
500,가온전선 ,27750,500,1.83,2418,11.48,63351,0.44,600,2.16
520,삼일제약 ,8000,0,0,110,72.73,4746,1.69,75,0.94
540,흥국화재 ,3900,-55,-1.39,268,14.55,11107,0.35,0,0
545,흥국화재우 ,8490,-80,-0.93,,,,,0,0
547,흥국화재2우B ,27500,-300,-1.08,,,,,0,0
590,CS홀딩스 ,63700,-600,-0.93,6657,9.57,210057,0.3,500,0.78
640,동아쏘시오홀딩스 ,105500,-2500,-2.31,26725,3.95,144380,0.73,1000,0.95
650,천일고속 ,68400,-400,-0.58,,,26545,2.58,3000,4.39
660,SK하이닉스 ,107500,500,0.47,6952,15.46,71275,1.51,1170,1.09
670,영풍 ,686000,2000,0.29,77108,8.9,1803019,0.38,10000,1.46
680,LS네트웍스 ,3340,80,2.45,,,6258,0.53,0,0
700,유수홀딩스 ,5850,0,0,3202,1.83,11744,0.5,500,8.55
720,현대건설 ,51000,400,0.79,1067,47.8,57894,0.88,600,1.18
725,현대건설우 ,81000,-5100,-5.92,,,,,650,0.8
760,이화산업 ,16400,-150,-0.91,,,35475,0.46,0,0
810,삼성화재 ,227500,2500,1.11,17760,12.81,321574,0.71,8800,3.87
815,삼성화재우 ,174000,0,0,,,,,8805,5.06
850,화천기공 ,35250,100,0.28,2053,17.17,134620,0.26,750,2.13
860,강남제비스코 ,24750,500,2.06,3583,6.91,84026,0.29,500,2.02
880,한화 ,32450,0,0,2831,11.46,46059,0.7,700,2.16
885,한화우 ,37950,-350,-0.91,,,,,750,1.98
890,보해양조 ,953,-3,-0.31,14,68.07,617,1.54,0,0
910,유니온 ,8730,40,0.46,951,9.18,8009,1.09,125,1.43
950,전방 ,39800,-450,-1.12,5181,7.68,83530,0.48,0,0
970,한국주철관 ,9620,30,0.31,513,18.75,12129,0.79,200,2.08
990,DB하이텍 ,58400,-700,-1.18,3822,15.28,17851,3.27,350,0.6
995,DB하이텍1우 ,99000,0,0,,,,,400,0.4
1000,신라섬유 ,2405,-5,-0.21,14,171.79,610,3.94,0,0
1020,페이퍼코리아 ,1700,-5,-0.29,7,242.86,748,2.27,0,0
1040,CJ ,97100,-200,-0.21,2581,37.62,130202,0.75,2000,2.06
1045,CJ우 ,60300,-200,-0.33,,,,,2050,3.4
1060,JW중외제약 ,22800,0,0,,,9069,2.51,325,1.43
1065,JW중외제약우 ,33750,-200,-0.59,,,,,350,1.04
1067,JW중외제약2우B ,59000,1000,1.72,,,,,325,0.55
1070,대한방직 ,46900,600,1.3,746,62.87,25717,1.82,0,0
1080,만호제강 ,20900,-550,-2.56,420,49.76,55976,0.37,200,0.96
1120,LX인터내셔널 ,27100,700,2.65,7932,3.42,34525,0.78,400,1.48
1130,대한제분 ,164000,2500,1.55,12494,13.13,461663,0.36,2000,1.22
1140,국보 ,2000,-120,-5.66,,,609,3.28,0,0
1200,유진투자증권 ,3770,20,0.53,797,4.73,8932,0.42,120,3.18
1210,금호전기 ,3530,-105,-2.89,,,1369,2.58,0,0
1230,동국제강 ,16350,350,2.19,700,23.36,21305,0.77,200,1.22
1250,GS글로벌 ,2605,-10,-0.38,,,3465,0.75,0,0
1260,남광토건 ,15050,350,2.38,1401,10.74,6746,2.23,0,0
1270,부국증권 ,24700,250,1.02,6784,3.64,41949,0.59,1200,4.86
1275,부국증권우 ,23000,200,0.88,,,,,1250,5.43
1290,상상인증권 ,1215,10,0.83,27,45,1799,0.68,0,0
1340,백광산업 ,5400,10,0.19,232,23.28,3946,1.37,50,0.93
1360,삼성제약 ,5280,60,1.15,,,1981,2.67,0,0
1380,SG글로벌 ,2075,-50,-2.35,,,2812,0.74,0,0
1390,KG케미칼 ,38500,1100,2.94,3358,11.47,29370,1.31,400,1.04
1420,태원물산 ,5310,-90,-1.67,,,4160,1.28,50,0.94
1430,세아베스틸 ,20800,-50,-0.24,,,45201,0.46,200,0.96
1440,대한전선 ,2255,-5,-0.22,3,751.67,402,5.61,0,0
1450,현대해상 ,25550,300,1.19,3955,6.46,53743,0.48,1000,3.91
1460,BYC ,435500,1000,0.23,21904,19.88,538911,0.81,1100,0.25
1465,BYC우 ,173500,-1500,-0.86,,,,,1150,0.66
1470,삼부토건 ,2000,-10,-0.5,,,1397,1.43,0,0
1500,현대차증권 ,12650,0,0,2739,4.62,27500,0.46,675,5.34
1510,SK증권 ,993,29,3.01,25,39.72,1207,0.82,10,1.01
1515,SK증권우 ,4220,75,1.81,,,,,15,0.36
1520,동양 ,1810,90,5.23,,,3285,0.55,40,2.21
1525,동양우 ,7940,390,5.17,,,,,90,1.13
1527,동양2우B ,14500,100,0.69,,,,,150,1.03
1529,동양3우B ,38100,600,1.6,,,,,150,0.39
1530,DI동일 ,278500,-3500,-1.24,10653,26.14,198359,1.4,1500,0.54
1540,안국약품 ,10050,60,0.6,,,11048,0.91,220,2.19
1550,조비 ,24800,-600,-2.36,579,42.83,9861,2.51,0,0
1560,제일연마 ,9040,210,2.38,435,20.78,8589,1.05,220,2.43
1570,금양 ,5200,150,2.97,,,1797,2.89,0,0
1620,케이비아이동국실업 ,957,9,0.95,,,2511,0.38,0,0
1630,종근당홀딩스 ,81300,-200,-0.25,15711,5.17,107821,0.75,1400,1.72
1680,대상 ,23850,50,0.21,3473,6.87,30083,0.79,700,2.94
1685,대상우 ,18000,50,0.28,,,,,710,3.94
1720,신영증권 ,62000,400,0.65,22418,2.77,81242,0.76,4000,6.45
1725,신영증권우 ,62500,0,0,,,,,4050,6.48
1740,SK네트웍스 ,5170,50,0.98,153,33.79,8289,0.62,120,2.32
1745,SK네트웍스우 ,84100,0,0,,,,,145,0.17
