종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
20,동화약품 ,15400,-250,-1.6,1033,14.91,11860,1.3,180,1.17
40,KR모터스 ,998,-12,-1.19,,,396,2.52,0,0
50,경방 ,13800,-50,-0.36,499,27.66,27063,0.51,125,0.91
60,메리츠화재 ,30250,1000,3.42,3856,7.84,22175,1.36,1280,4.23
70,삼양홀딩스 ,105000,500,0.48,13218,7.94,171357,0.61,2250,2.14
75,삼양홀딩스우 ,68900,-500,-0.72,,,,,2300,3.34
80,하이트진로 ,34050,-1000,-2.85,1246,27.33,15067,2.26,750,2.2
87,하이트진로2우B ,20700,-350,-1.66,,,,,800,3.86
100,유한양행 ,61500,-200,-0.32,2943,20.9,25880,2.38,400,0.65
105,유한양행우 ,58600,-400,-0.68,,,,,410,0.7
120,CJ대한통운 ,145500,-3000,-2.02,5683,25.6,146331,0.99,0,0
140,하이트진로홀딩스 ,14800,-250,-1.66,3014,4.91,20817,0.71,400,2.7
145,하이트진로홀딩스우 ,17400,-150,-0.85,,,,,450,2.59
150,두산 ,110000,3000,2.8,,,77507,1.42,2000,1.82
155,두산우 ,75200,0,0,,,,,2050,2.73
157,두산2우B ,128000,-1500,-1.16,,,,,2000,1.56
180,성창기업지주 ,2530,-30,-1.17,78,32.44,7637,0.33,0,0
210,DL ,66400,-1600,-2.35,13077,5.08,67178,0.99,1300,1.96
215,DL우 ,40700,-550,-1.33,,,,,1350,3.32
220,유유제약 ,7390,-110,-1.47,84,87.98,6360,1.16,210,2.84
225,유유제약1우 ,10000,-100,-0.99,,,,,220,2.2
227,유유제약2우B ,23300,-250,-1.06,,,,,0,0
230,일동홀딩스 ,13700,100,0.74,,,10633,1.29,100,0.73
240,한국앤컴퍼니 ,17100,-250,-1.44,1848,9.25,36437,0.47,500,2.92
250,삼천당제약 ,50300,1350,2.76,,,8197,6.14,0,0
270,기아 ,85000,-1000,-1.16,3710,22.91,73740,1.15,1000,1.18
300,대유플러스 ,1525,130,9.32,,,825,1.85,0,0
320,노루홀딩스 ,12350,-100,-0.8,1343,9.2,27547,0.45,450,3.64
325,노루홀딩스우 ,49000,-500,-1.01,,,,,455,0.93
370,한화손해보험 ,4530,0,0,315,14.38,14390,0.31,0,0
390,삼화페인트 ,9990,-10,-0.1,294,33.98,10862,0.92,150,1.5
400,롯데손해보험 ,1865,35,1.91,,,3050,0.61,0,0
430,대원강업 ,4120,-90,-2.14,,,7487,0.55,100,2.43
440,중앙에너비스 ,18050,-650,-3.48,4144,4.36,9893,1.82,480,2.66
480,조선내화 ,88100,-100,-0.11,10421,8.45,154303,0.57,4200,4.77
490,대동 ,10450,350,3.47,985,10.61,13301,0.79,80,0.77
500,가온전선 ,28100,-200,-0.71,2418,11.62,63351,0.44,600,2.14
520,삼일제약 ,8120,0,0,110,73.82,4746,1.71,75,0.92
540,흥국화재 ,3835,-55,-1.41,268,14.31,11107,0.35,0,0
545,흥국화재우 ,8760,70,0.81,,,,,0,0
547,흥국화재2우B ,28200,0,0,,,,,0,0
590,CS홀딩스 ,64900,-100,-0.15,6657,9.75,210057,0.31,500,0.77
640,동아쏘시오홀딩스 ,107500,0,0,26725,4.02,144380,0.74,1000,0.93
650,천일고속 ,67900,-500,-0.73,,,26545,2.56,3000,4.42
660,SK하이닉스 ,105500,-2000,-1.86,6952,15.18,71275,1.48,1170,1.11
670,영풍 ,685000,-13000,-1.86,77108,8.88,1803019,0.38,10000,1.46
680,LS네트웍스 ,3370,-190,-5.34,,,6258,0.54,0,0
700,유수홀딩스 ,6000,-10,-0.17,3202,1.87,11744,0.51,500,8.33
720,현대건설 ,51400,-400,-0.77,1067,48.17,57894,0.89,600,1.17
725,현대건설우 ,108500,-46500,-30,,,,,650,0.6
760,이화산업 ,16800,50,0.3,,,35475,0.47,0,0
810,삼성화재 ,233500,-1500,-0.64,17760,13.15,321574,0.73,8800,3.77
815,삼성화재우 ,177000,-1500,-0.84,,,,,8805,4.97
850,화천기공 ,36400,-200,-0.55,2053,17.73,134620,0.27,750,2.06
860,강남제비스코 ,24600,-350,-1.4,3583,6.87,84026,0.29,500,2.03
880,한화 ,32250,-550,-1.68,2831,11.39,46059,0.7,700,2.17
885,한화우 ,38500,100,0.26,,,,,750,1.95
890,보해양조 ,976,-15,-1.51,14,69.71,617,1.58,0,0
910,유니온 ,9080,2090,29.9,951,9.55,8009,1.13,125,1.38
950,전방 ,41300,-700,-1.67,5181,7.97,83530,0.49,0,0
970,한국주철관 ,9880,-50,-0.5,513,19.26,12129,0.81,200,2.02
990,DB하이텍 ,58400,-200,-0.34,3822,15.28,17851,3.27,350,0.6
995,DB하이텍1우 ,100500,-2000,-1.95,,,,,400,0.4
1000,신라섬유 ,2465,0,0,14,176.07,610,4.04,0,0
1020,페이퍼코리아 ,1740,5,0.29,7,248.57,748,2.33,0,0
1040,CJ ,95300,-2200,-2.26,2581,36.92,130202,0.73,2000,2.1
1045,CJ우 ,60800,-500,-0.82,,,,,2050,3.37
1060,JW중외제약 ,23700,-100,-0.42,,,9069,2.61,325,1.37
1065,JW중외제약우 ,32950,-50,-0.15,,,,,350,1.06
1067,JW중외제약2우B ,56500,-200,-0.35,,,,,325,0.58
1070,대한방직 ,46000,-50,-0.11,746,61.66,25717,1.79,0,0
1080,만호제강 ,21000,-800,-3.67,420,50,55976,0.38,200,0.95
1120,LX인터내셔널 ,26750,-150,-0.56,7932,3.37,34525,0.77,400,1.5
1130,대한제분 ,165000,-2000,-1.2,12494,13.21,461663,0.36,2000,1.21
1140,국보 ,2045,-20,-0.97,,,609,3.36,0,0
1200,유진투자증권 ,3795,-55,-1.43,797,4.76,8932,0.42,120,3.16
1210,금호전기 ,3510,-200,-5.39,,,1369,2.56,0,0
1230,동국제강 ,17050,-250,-1.45,700,24.36,21305,0.8,200,1.17
1250,GS글로벌 ,2600,80,3.17,,,3465,0.75,0,0
1260,남광토건 ,14600,-300,-2.01,1401,10.42,6746,2.16,0,0
1270,부국증권 ,24950,-200,-0.8,6784,3.68,41949,0.59,1200,4.81
1275,부국증권우 ,23100,0,0,,,,,1250,5.41
1290,상상인증권 ,1225,-25,-2,27,45.37,1799,0.68,0,0
1340,백광산업 ,5570,-120,-2.11,232,24.01,3946,1.41,50,0.9
1360,삼성제약 ,5210,-720,-12.14,,,1981,2.63,0,0
1380,SG글로벌 ,2150,-85,-3.8,,,2812,0.76,0,0
1390,KG케미칼 ,42700,1700,4.15,3358,12.72,29370,1.45,400,0.94
1420,태원물산 ,5360,-80,-1.47,,,4160,1.29,50,0.93
1430,세아베스틸 ,21550,-750,-3.36,,,45201,0.48,200,0.93
1440,대한전선 ,2280,-80,-3.39,3,760,402,5.67,0,0
1450,현대해상 ,26150,-150,-0.57,3955,6.61,53743,0.49,1000,3.82
1460,BYC ,436000,1000,0.23,21904,19.91,538911,0.81,1100,0.25
1465,BYC우 ,178000,500,0.28,,,,,1150,0.65
1470,삼부토건 ,2060,-30,-1.44,,,1397,1.47,0,0
1500,현대차증권 ,12700,-150,-1.17,2739,4.64,27500,0.46,675,5.31
1510,SK증권 ,982,-9,-0.91,25,39.28,1207,0.81,10,1.02
1515,SK증권우 ,4140,-65,-1.55,,,,,15,0.36
1520,동양 ,1680,35,2.13,,,3285,0.51,40,2.38
1525,동양우 ,7680,-30,-0.39,,,,,90,1.17
1527,동양2우B ,14850,-300,-1.98,,,,,150,1.01
1529,동양3우B ,36700,250,0.69,,,,,150,0.41
1530,DI동일 ,289500,1500,0.52,10653,27.18,198359,1.46,1500,0.52
1540,안국약품 ,10150,-200,-1.93,,,11048,0.92,220,2.17
1550,조비 ,26250,1300,5.21,579,45.34,9861,2.66,0,0
1560,제일연마 ,8850,90,1.03,435,20.34,8589,1.03,220,2.49
1570,금양 ,5210,-170,-3.16,,,1797,2.9,0,0
1620,케이비아이동국실업 ,951,-59,-5.84,,,2511,0.38,0,0
1630,종근당홀딩스 ,83200,-500,-0.6,15711,5.3,107821,0.77,1400,1.68
1680,대상 ,23950,-300,-1.24,3473,6.9,30083,0.8,700,2.92
1685,대상우 ,18200,0,0,,,,,710,3.9
1720,신영증권 ,62500,-300,-0.48,22418,2.79,81242,0.77,4000,6.4
1725,신영증권우 ,62700,-600,-0.95,,,,,4050,6.46
1740,SK네트웍스 ,5240,30,0.58,153,34.25,8289,0.63,120,2.29
1745,SK네트웍스우 ,86900,-400,-0.46,,,,,145,0.17
1750,한양증권 ,17700,-50,-0.28,3583,4.94,26489,0.67,750,4.24
1755,한양증권우 ,20850,-50,-0.24,,,,,800,3.84
1770,SHD ,29650,750,2.6,403,73.57,28484,1.04,100,0.34
1780,알루코 ,3950,-40,-1,,,2427,1.63,0,0
1790,대한제당 ,3295,0,0,263,12.53,4974,0.66,180,5.46
1795,대한제당우 ,3450,-5,-0.14,,,,,185,5.36
1800,오리온홀딩스 ,16000,-250,-1.54,1289,12.41,31390,0.51,650,4.06
1810,무림SP ,3230,-60,-1.82,79,40.89,9248,0.35,25,0.77
1820,삼화콘덴서 ,55200,-1200,-2.13,2272,24.3,16709,3.3,300,0.54
1840,이화공영 ,6450,-100,-1.53,15,430,2156,2.99,10,0.16
1880,DL건설 ,29800,300,1.02,7953,3.75,34403,0.87,550,1.85
1940,KISCO홀딩스 ,18100,-250,-1.36,2260,8.01,45645,0.4,300,1.66
2020,코오롱 ,33950,300,0.89,10889,3.12,52610,0.65,500,1.47
2025,코오롱우 ,20450,100,0.49,,,,,550,2.69
2030,아세아 ,125500,0,0,22188,5.66,369251,0.34,2000,1.59
2070,비비안 ,3000,-65,-2.12,,,3376,0.89,0,0
2100,경농 ,13300,150,1.14,706,18.84,8886,1.5,250,1.88
2140,고려산업 ,3355,-60,-1.76,278,12.07,4108,0.82,35,1.04
2150,도화엔지니어링 ,7840,-60,-0.76,535,14.65,7617,1.03,280,3.57
2170,삼양통상 ,63300,-500,-0.78,17515,3.61,125195,0.51,1250,1.97
2200,한국수출포장 ,25850,-50,-0.19,2090,12.37,63143,0.41,600,2.32
2210,동성제약 ,8890,-60,-0.67,,,2105,4.22,0,0
2220,한일철강 ,3220,20,0.63,,,5895,0.55,0,0
2230,피에스텍 ,4845,30,0.62,25,193.8,6922,0.7,75,1.55
2240,고려제강 ,26850,-250,-0.92,366,73.36,59061,0.45,300,1.12
2270,롯데푸드 ,387000,4000,1.04,77191,5.01,672512,0.58,12000,3.1
2290,삼일기업공사 ,4410,-145,-3.18,195,22.62,4838,0.91,100,2.27
2310,아세아제지 ,46700,100,0.21,6057,7.71,70731,0.66,700,1.5
2320,한진 ,34000,-400,-1.16,575,59.13,73015,0.47,600,1.76
2350,넥센타이어 ,7550,-100,-1.31,,,14814,0.51,105,1.39
2355,넥센타이어1우B ,3345,-10,-0.3,,,,,110,3.29
2360,SH에너지화학 ,1095,0,0,,,808,1.36,0,0
2380,KCC ,320500,-7500,-2.29,72945,4.39,548119,0.58,5700,1.78
2390,한독 ,23850,0,0,1958,12.18,27703,0.86,300,1.26
2410,범양건영 ,8000,-170,-2.08,442,18.1,3269,2.45,0,0
2420,세기상사 ,6160,0,0,,,5066,1.22,0,0
2450,삼익악기 ,1800,-20,-1.1,120,15,2464,0.73,50,2.78
2460,화성산업 ,13150,-50,-0.38,2742,4.8,31644,0.42,650,4.94
2600,조흥 ,208000,-2500,-1.19,12528,16.6,222051,0.94,6000,2.88
2620,제일파마홀딩스 ,17200,-250,-1.43,745,23.09,25508,0.67,70,0.41
2630,오리엔트바이오 ,1335,-10,-0.74,,,418,3.19,0,0
2680,한탑 ,1350,-10,-0.74,,,2172,0.62,0,0
2690,동일제강 ,3395,55,1.65,18,188.61,7926,0.43,0,0
2700,신일전자 ,1930,-20,-1.03,115,16.78,1059,1.82,20,1.04
2710,TCC스틸 ,8370,20,0.24,,,4991,1.68,15,0.18
2720,국제약품 ,6110,-120,-1.93,120,50.92,3659,1.67,0,0
2760,보락 ,2155,15,0.7,7,307.86,735,2.93,4,0.19
2780,진흥기업 ,2110,-25,-1.17,140,15.07,811,2.6,0,0
2785,진흥기업우B ,5730,-60,-1.04,,,,,0,0
2787,진흥기업2우B ,14600,-300,-2.01,,,,,0,0
2790,아모레G ,50000,-1000,-1.96,74,675.68,33851,1.48,230,0.46
2795,아모레G우 ,18400,-150,-0.81,,,,,235,1.28
2800,신신제약 ,7270,-40,-0.55,24,302.92,3704,1.96,0,0
2810,삼영무역 ,15700,0,0,1600,9.81,20537,0.76,500,3.18
2820,SUN&L ,5660,0,0,,,16384,0.35,0,0
2840,미원상사 ,209500,0,0,10369,20.2,53838,3.89,700,0.33
2870,신풍제지 ,2555,-25,-0.97,1189,2.15,2884,0.89,50,1.96
2880,대유에이텍 ,1750,40,2.34,,,1045,1.67,0,0
2900,TYM ,1885,-180,-8.72,29,65,934,2.02,0,0
2920,유성기업 ,3385,5,0.15,,,10196,0.33,120,3.55
2960,한국쉘석유 ,280000,1500,0.54,16162,17.32,75474,3.71,14000,5
2990,금호건설 ,11800,-150,-1.26,741,15.92,10569,1.12,500,4.24
2995,금호건설우 ,31500,-50,-0.16,,,,,550,1.75
3000,부광약품 ,13700,-100,-0.72,,,3643,3.76,100,0.73
3010,혜인 ,6420,230,3.72,484,13.26,8434,0.76,120,1.87
3030,세아제강지주 ,119500,0,0,4227,28.27,235619,0.51,1500,1.26
3060,에이프로젠제약 ,1015,-15,-1.46,35,29,1268,0.8,0,0
3070,코오롱글로벌 ,24700,-550,-2.18,3249,7.6,18560,1.33,400,1.62
3075,코오롱글로벌우 ,33000,100,0.3,,,,,450,1.36
3080,성보화학 ,4360,-35,-0.8,,,6827,0.64,135,3.1
3090,대웅 ,33400,350,1.06,2343,14.26,11787,2.83,100,0.3
3100,선광 ,55600,-200,-0.36,1152,48.26,45992,1.21,350,0.63
3120,일성신약 ,76500,-700,-0.91,2100,36.43,130630,0.59,750,0.98
3160,디아이 ,8450,-40,-0.47,203,41.63,4122,2.05,100,1.18
3200,일신방직 ,116500,-3000,-2.51,4428,26.31,295756,0.39,1500,1.29
3220,대원제약 ,16900,600,3.68,853,19.81,10084,1.68,160,0.95
3230,삼양식품 ,81500,-1700,-2.04,8922,9.13,45470,1.79,800,0.98
3240,태광산업 ,1010000,-9000,-0.88,125727,8.03,2969365,0.34,1550,0.15
3280,흥아해운 ,3470,-225,-6.09,,,,,0,0
3300,한일홀딩스 ,13800,50,0.36,1677,8.23,46221,0.3,510,3.7
3310,대주산업 ,2125,-55,-2.52,98,21.68,1530,1.39,35,1.65
3350,한국화장품제조 ,30850,-1450,-4.49,,,9768,3.16,0,0
3380,하림지주 ,9140,-250,-2.66,725,12.61,18343,0.5,50,0.55
3410,쌍용C&E ,7970,-60,-0.75,275,28.98,3353,2.38,440,5.52
3460,유화증권 ,2780,-10,-0.36,83,33.49,6358,0.44,110,3.96
3465,유화증권우 ,2790,-5,-0.18,,,,,120,4.3
3470,유안타증권 ,4445,-60,-1.33,500,8.89,6527,0.68,125,2.81
3475,유안타증권우 ,4475,-50,-1.1,,,,,175,3.91
3480,한진중공업홀딩스 ,4390,-120,-2.66,,,11160,0.39,0,0
3490,대한항공 ,30200,-600,-1.95,,,14181,2.13,0,0
3495,대한항공우 ,39800,-500,-1.24,,,,,0,0
3520,영진약품 ,4825,-85,-1.73,,,626,7.71,0,0
3530,한화투자증권 ,5950,-40,-0.67,307,19.38,5707,1.04,0,0
3535,한화투자증권우 ,14700,-500,-3.29,,,,,0,0
3540,대신증권 ,20300,-450,-2.17,2119,9.58,23605,0.86,1200,5.91
3545,대신증권우 ,18700,-350,-1.84,,,,,1250,6.68
3547,대신증권2우B ,18350,-350,-1.87,,,,,1200,6.54
3550,LG ,92400,-700,-0.75,8338,11.08,115188,0.8,2500,2.71
3555,LG우 ,67000,-400,-0.59,,,,,2550,3.81
3560,IHQ ,1770,-80,-4.32,,,808,2.19,0,0
3570,SNT중공업 ,9200,90,0.99,329,27.96,17967,0.51,300,3.26
3580,넥스트사이언스 ,18450,-750,-3.91,,,2013,9.17,0,0
3610,방림 ,2845,85,3.08,128,22.23,4519,0.63,35,1.23
3620,쌍용차 ,2770,0,0,,,,,0,0
3650,미창석유 ,79500,-800,-1,12962,6.13,159298,0.5,2100,2.64
3670,포스코케미칼 ,145000,500,0.35,455,318.68,15401,9.41,300,0.21
3680,한성기업 ,6510,0,0,400,16.28,8130,0.8,0,0
3690,코리안리 ,9660,-130,-1.33,1252,7.72,20403,0.47,450,4.66
3720,삼영화학 ,3175,20,0.63,6,529.17,1297,2.45,0,0
3780,진양산업 ,6980,-80,-1.13,395,17.67,3341,2.09,180,2.58
3800,에이스침대 ,47400,0,0,4811,9.85,45711,1.04,1100,2.32
3830,대한화섬 ,138500,-1000,-0.72,14424,9.6,457234,0.3,410,0.3
3850,보령제약 ,14500,-100,-0.68,455,31.87,5367,2.7,100,0.69
3920,남양유업 ,455000,-500,-0.11,,,970716,0.47,1000,0.22
3925,남양유업우 ,224000,2000,0.9,,,,,1050,0.47
3960,사조대림 ,28000,-1000,-3.45,4602,6.08,39002,0.72,200,0.71
4000,롯데정밀화학 ,91400,4400,5.06,7805,11.71,63942,1.43,1500,1.64
4020,현대제철 ,43650,-450,-1.02,,,122488,0.36,500,1.15
4060,SG세계물산 ,699,-4,-0.57,,,969,0.72,0,0
4080,신흥 ,16050,50,0.31,1302,12.33,9573,1.68,200,1.25
4090,한국석유 ,12750,-50,-0.39,546,23.35,11418,1.12,83,0.65
4100,태양금속 ,1665,-55,-3.2,,,2467,0.67,5,0.3
4105,태양금속우 ,3000,-40,-1.32,,,,,10,0.33
4140,동방 ,4540,475,11.69,363,12.51,2763,1.64,0,0
4150,한솔홀딩스 ,3705,-45,-1.2,1695,2.19,11972,0.31,120,3.24
4170,신세계 ,238000,500,0.21,,,349650,0.68,1500,0.63
4250,NPC ,6080,-130,-2.09,449,13.54,7011,0.87,100,1.64
4255,NPC우 ,3180,5,0.16,,,,,105,3.3
4270,남성 ,3345,-85,-2.48,,,2095,1.6,35,1.05
4310,현대약품 ,5940,-30,-0.5,80,74.25,2817,2.11,43,0.72
4360,세방 ,12450,-100,-0.8,1436,8.67,36981,0.34,190,1.53
4365,세방우 ,7100,-40,-0.56,,,,,195,2.75
4370,농심 ,282000,-2000,-0.7,25682,10.98,334382,0.84,4000,1.42
4380,삼익THK ,11700,-250,-2.09,215,54.42,9046,1.29,150,1.28
4410,서울식품 ,328,-5,-1.5,,,78,4.21,0,0
4415,서울식품우 ,4410,-90,-2,,,,,0,0
4430,송원산업 ,17450,-150,-0.85,1144,15.25,19113,0.91,120,0.69
4440,삼일씨엔에스 ,10550,0,0,,,21785,0.48,0,0
4450,삼화왕관 ,43500,200,0.46,819,53.11,66914,0.65,1250,2.87
4490,세방전지 ,80100,-1100,-1.35,4916,16.29,79003,1.01,500,0.62
4540,깨끗한나라 ,4870,175,3.73,1023,4.76,5765,0.84,100,2.05
4545,깨끗한나라우 ,23900,100,0.42,,,,,110,0.46
4560,현대비앤지스틸 ,16600,-300,-1.78,1553,10.69,28211,0.59,100,0.6
4565,현대비앤지스틸우 ,77000,-600,-0.77,,,,,150,0.19
4590,한국가구 ,6630,10,0.15,617,10.75,7783,0.85,135,2.04
4650,창해에탄올 ,14400,0,0,1705,8.45,14242,1.01,600,4.17
4690,삼천리 ,93200,100,0.11,9248,10.08,317378,0.29,3000,3.22
4700,조광피혁 ,61300,-1900,-3.01,5532,11.08,47356,1.29,300,0.49
4710,한솔테크닉스 ,6700,-70,-1.03,834,8.03,8683,0.77,0,0
4720,팜젠사이언스 ,12500,0,0,675,18.52,5677,2.2,0,0
4770,써니전자 ,3390,-160,-4.51,170,19.94,1832,1.85,0,0
4780,대륙제관 ,5730,-30,-0.52,757,7.57,7316,0.78,150,2.62
4800,효성 ,100000,-1000,-0.99,,,105988,0.94,5000,5
4830,덕성 ,24250,750,3.19,232,104.53,3880,6.25,45,0.19
4835,덕성우 ,27850,200,0.72,,,,,50,0.18
4840,DRB동일 ,5580,-90,-1.59,121,46.12,17702,0.32,50,0.9
4870,티웨이홀딩스 ,1225,-35,-2.78,,,994,1.23,0,0
4890,동일산업 ,140500,0,0,3700,37.97,148639,0.95,1800,1.28
4910,조광페인트 ,8270,-30,-0.36,436,18.97,15814,0.52,200,2.42
4920,씨아이테크 ,970,-3,-0.31,,,1283,0.76,0,0
4960,한신공영 ,19000,-200,-1.04,9155,2.08,52869,0.36,400,2.11
4970,신라교역 ,12300,-100,-0.81,479,25.68,32370,0.38,500,4.07
4980,성신양회 ,11950,150,1.27,416,28.73,16113,0.74,150,1.26
4985,성신양회우 ,15600,-200,-1.27,,,,,200,1.28
4990,롯데지주 ,33400,-400,-1.18,,,60599,0.55,1000,2.99
5010,휴스틸 ,14000,-150,-1.06,1134,12.35,54380,0.26,200,1.43
5030,부산주공 ,605,-8,-1.31,,,469,1.29,0,0
5070,코스모신소재 ,41800,500,1.21,401,104.24,6045,6.91,0,0
5090,SGC에너지 ,48200,-450,-0.92,1792,26.9,38628,1.25,1500,3.11
5110,한창 ,1105,0,0,,,544,2.03,0,0
5160,동국산업 ,3830,-30,-0.78,127,30.16,7079,0.54,130,3.39
5180,빙그레 ,55900,-600,-1.06,3944,14.17,59843,0.93,1600,2.86
5250,녹십자홀딩스 ,29650,-300,-1,3793,7.82,18556,1.6,500,1.69
5257,녹십자홀딩스2우 ,66700,-1800,-2.63,,,,,500,0.75
5290,동진쎄미켐 ,33300,-750,-2.2,1658,20.08,8437,3.95,100,0.3
5300,롯데칠성 ,142000,-3000,-2.07,,,132776,1.07,2700,1.9
5305,롯데칠성우 ,71700,0,0,,,,,2705,3.77
5320,국동 ,2530,-95,-3.62,458,5.52,2309,1.1,50,1.98
5360,모나미 ,4650,-30,-0.64,4,1162.5,4630,1,70,1.51
5380,현대차 ,208500,-1500,-0.71,5454,38.23,250888,0.83,3000,1.44
5385,현대차우 ,96900,-900,-0.92,,,,,3050,3.15
5387,현대차2우B ,98600,-400,-0.4,,,,,3100,3.14
5389,현대차3우B ,93300,-500,-0.53,,,,,3050,3.27
5390,신성통상 ,3485,-125,-3.46,51,68.33,1652,2.11,0,0
5420,코스모화학 ,15850,550,3.59,,,4716,3.36,0,0
5430,한국공항 ,46200,-1400,-2.94,,,86072,0.54,0,0
5440,현대그린푸드 ,9720,-120,-1.22,815,11.93,18231,0.53,210,2.16
5490,POSCO ,300500,2500,0.84,20165,14.9,508464,0.59,8000,2.66
5500,삼진제약 ,25900,200,0.78,2266,11.43,15357,1.69,800,3.09
5610,SPC삼립 ,76300,-1000,-1.29,,,35114,2.17,1104,1.45
5670,푸드웰 ,7630,-130,-1.68,423,18.04,8013,0.95,85,1.11
5680,삼영전자 ,11900,-100,-0.83,571,20.84,24545,0.48,250,2.1
5690,파미셀 ,12450,-250,-1.97,87,143.1,952,13.08,0,0
5710,대원산업 ,6680,20,0.3,902,7.41,16584,0.4,125,1.87
5720,넥센 ,4995,-65,-1.28,194,25.75,18401,0.27,85,1.7
5725,넥센우 ,3635,0,0,,,,,90,2.48
5740,크라운해태홀딩스 ,8950,-80,-0.89,1527,5.86,18262,0.49,100,1.12
5745,크라운해태홀딩스우 ,13700,-250,-1.79,,,,,105,0.77
5750,대림B&Co ,7020,-120,-1.68,,,9517,0.74,130,1.85
5800,신영와코루 ,116000,500,0.43,3245,35.75,352404,0.33,1500,1.29
5810,풍산홀딩스 ,28200,-150,-0.53,1454,19.39,63127,0.45,1200,4.26
5820,원림 ,21050,0,0,7819,2.69,45998,0.46,500,2.38
5830,DB손해보험 ,58300,-2000,-3.32,9171,6.36,90596,0.64,2200,3.77
5850,에스엘 ,34000,1550,4.78,1420,23.94,29241,1.16,500,1.47
5860,한일사료 ,2130,30,1.43,55,38.73,1590,1.34,25,1.17
5870,휴니드 ,7300,-60,-0.82,432,16.9,8452,0.86,0,0
5880,대한해운 ,2760,-65,-2.3,34,81.18,2946,0.94,0,0
5930,삼성전자 ,70400,-1100,-1.54,3841,18.33,39406,1.79,2994,4.25
5935,삼성전자우 ,66200,0,0,,,,,2995,4.52
5940,NH투자증권 ,12900,-150,-1.15,1923,6.71,19308,0.67,700,5.43
5945,NH투자증권우 ,12500,-50,-0.4,,,,,750,6
5950,이수화학 ,14050,-250,-1.75,,,10682,1.32,300,2.14
5960,동부건설 ,14850,-250,-1.66,1974,7.52,20042,0.74,900,6.06
5965,동부건설우 ,39700,100,0.25,,,,,950,2.39
5990,매일홀딩스 ,9980,-10,-0.1,154,64.81,20924,0.48,140,1.4
6040,동원산업 ,228500,1500,0.66,70124,3.26,340108,0.67,5000,2.19
6050,국영지앤엠 ,1990,-35,-1.73,,,1462,1.36,0,0
6060,화승인더 ,6640,-110,-1.63,698,9.51,6374,1.04,188,2.83
6090,사조오양 ,9660,-90,-0.92,1959,4.93,19611,0.49,150,1.55
6110,삼아알미늄 ,24200,-400,-1.63,319,75.86,10036,2.41,100,0.41
6120,SK디스커버리 ,48550,-200,-0.41,13096,3.71,95458,0.51,1000,2.06
6125,SK디스커버리우 ,39050,-150,-0.38,,,,,1050,2.69
6140,피제이전자 ,8880,-190,-2.09,331,26.83,7305,1.22,100,1.13
6200,한국전자홀딩스 ,1565,-50,-3.1,,,2169,0.72,0,0
6220,제주은행 ,6260,-130,-2.03,481,13.01,15856,0.39,100,1.6
6260,LS ,62400,-400,-0.64,4568,13.66,101468,0.61,1450,2.32
6280,녹십자 ,261500,-6500,-2.43,7101,36.83,95710,2.73,1500,0.57
6340,대원전선 ,2040,40,2,32,63.75,1159,1.76,0,0
6345,대원전선우 ,3415,-60,-1.73,,,,,0,0
6360,GS건설 ,42450,-350,-0.82,3919,10.83,51311,0.83,1200,2.83
6370,대구백화점 ,10750,0,0,,,24233,0.44,100,0.93
6380,카프로 ,4270,175,4.27,,,3095,1.38,0,0
6390,한일현대시멘트 ,36300,0,0,3732,9.73,15211,2.39,1100,3.03
6400,삼성SDI ,732000,1000,0.14,8593,85.19,184387,3.97,1000,0.14
6405,삼성SDI우 ,369000,-3000,-0.81,,,,,1050,0.28
6490,인스코비 ,3510,-75,-2.09,26,135,356,9.86,0,0
6570,대림통상 ,3725,-30,-0.8,,,5008,0.74,0,0
6580,대양제지 ,3260,0,0,153,21.31,4981,0.65,40,1.23
6620,동구바이오제약 ,8470,-60,-0.7,328,25.82,3335,2.54,100,1.18
6650,대한유화 ,185500,-2500,-1.33,20603,9,291403,0.64,3000,1.62
6660,삼성공조 ,15950,-150,-0.93,673,23.7,27201,0.59,80,0.5
6730,서부T&D ,8930,-60,-0.67,,,10575,0.84,50,0.56
