종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,,2021
6405,삼성SDI우 ,354000,-5500,-1.53,,,,,1050,0.3,,
6490,인스코비 ,3620,-95,-2.56,26,139.23,356,10.17,0,0,,
6570,대림통상 ,3480,-75,-2.11,,,5008,0.69,0,0,,
6580,대양제지 ,3260,0,0,153,21.31,4981,0.65,40,1.23,,
6620,동구바이오제약 ,7700,-40,-0.52,328,23.48,3335,2.31,100,1.3,,
6650,대한유화 ,178500,-1500,-0.83,20603,8.66,291403,0.61,3000,1.68,,
6660,삼성공조 ,16150,-300,-1.82,673,24,27201,0.59,80,0.5,,
6730,서부T&D ,8990,-30,-0.33,,,10575,0.85,50,0.56,,
6740,영풍제지 ,7050,-120,-1.67,483,14.6,5692,1.24,40,0.57,,
6800,미래에셋증권 ,9150,-30,-0.33,1213,7.54,11595,0.79,200,2.19,,
6805,미래에셋증권우 ,5750,-10,-0.17,,,,,220,3.83,,
6840,AK홀딩스 ,21350,-250,-1.16,,,50471,0.42,400,1.87,,
6880,신송홀딩스 ,5450,-170,-3.02,240,22.71,7600,0.72,100,1.83,,
6890,태경케미컬 ,12400,-150,-1.2,681,18.21,10707,1.16,200,1.61,,
6910,보성파워텍 ,3680,-90,-2.39,36,102.22,1773,2.08,0,0,,
6920,모헨즈 ,5420,-20,-0.37,5,1084,2125,2.55,0,0,,
6980,우성 ,28500,-400,-1.38,2240,12.72,57410,0.5,150,0.53,,
7070,GS리테일 ,31150,-950,-2.96,2187,14.24,29928,1.04,900,2.89,,
7110,일신석재 ,2320,-30,-1.28,8,290,674,3.44,0,0,,
7120,미래아이앤지 ,508,3,0.59,153,3.32,691,0.74,0,0,,
7160,사조산업 ,44600,100,0.22,1496,29.81,79731,0.56,200,0.45,,
7210,벽산 ,3585,-75,-2.05,,,3361,1.07,7,0.2,,
7280,한국특강 ,2970,-20,-0.67,88,33.75,1825,1.63,0,0,,
7310,오뚜기 ,458000,-3500,-0.76,31296,14.63,381649,1.2,8000,1.75,,
7330,푸른저축은행 ,12750,-500,-3.77,1824,6.99,18411,0.69,550,4.31,,
7340,디티알오토모티브 ,63900,0,0,5317,12.02,62666,1.02,2000,3.13,,
7370,진양제약 ,6770,50,0.74,329,20.58,3859,1.75,100,1.48,,
7390,네이처셀 ,17700,500,2.91,,,1024,17.29,0,0,,
7460,에이프로젠 MED ,1630,-20,-1.21,,,1744,0.93,0,0,,
7530,영신금속 ,2735,-60,-2.15,,,2031,1.35,0,0,,
7540,샘표 ,41400,-450,-1.08,15906,2.6,62296,0.66,200,0.48,,
7570,일양약품 ,28650,-300,-1.04,597,47.99,10609,2.7,120,0.42,,
7575,일양약품우 ,26550,-400,-1.48,,,,,145,0.55,,
7590,동방아그로 ,7160,-50,-0.69,569,12.58,10372,0.69,370,5.17,,
7610,선도전기 ,3825,-55,-1.42,140,27.32,5138,0.74,5,0.13,,
7630,폴루스바이오팜 ,1225,0,0,,,1413,0.87,0,0,,
7660,이수페타시스 ,4500,40,0.9,,,1404,3.21,0,0,,
7680,대원 ,9790,-170,-1.71,,,22474,0.44,250,2.55,,
7690,국도화학 ,58800,-1300,-2.16,4165,14.12,71901,0.82,1200,2.04,,
7700,F&F홀딩스 ,40200,-1850,-4.4,5599,7.18,35801,1.12,1000,2.49,,
7720,대명소노시즌 ,1270,-25,-1.93,,,1595,0.8,0,0,,
7770,한일화학 ,16600,-500,-2.92,,,26082,0.64,50,0.3,,
7810,코리아써키트 ,24600,3200,14.95,422,58.29,12532,1.96,0,0,,
7815,코리아써우 ,8060,560,7.47,,,,,0,0,,
7820,에스엠코어 ,7040,-210,-2.9,,,3483,2.02,70,0.99,,
7860,서연 ,13350,-350,-2.55,,,18291,0.73,50,0.37,,
7980,태평양물산 ,2330,-25,-1.06,,,3487,0.67,0,0,,
8040,사조동아원 ,1165,-5,-0.43,73,15.96,1469,0.79,0,0,,
8060,대덕 ,7840,-60,-0.76,3409,2.3,17300,0.45,300,3.83,,
8110,대동전자 ,8320,50,0.6,398,20.9,14879,0.56,0,0,,
8250,이건산업 ,12500,-200,-1.57,158,79.11,15750,0.79,200,1.6,,
8260,NI스틸 ,3500,-40,-1.13,424,8.25,4246,0.82,50,1.43,,
8290,원풍물산 ,1520,-25,-1.62,,,825,1.84,0,0,,
8350,남선알미늄 ,2735,15,0.55,95,28.79,1716,1.59,0,0,,
8355,남선알미우 ,22150,-250,-1.12,,,,,0,0,,
8370,원풍 ,5170,-90,-1.71,325,15.91,6218,0.83,160,3.09,,
8420,문배철강 ,3955,-55,-1.37,440,8.99,5808,0.68,50,1.26,,
8470,부스타 ,5880,130,2.26,662,8.88,9159,0.64,120,2.04,,
8490,서흥 ,41350,-900,-2.13,4766,8.68,29221,1.42,450,1.09,,
8500,일정실업 ,28600,1450,5.34,,,21268,1.34,0,0,,
8560,메리츠증권 ,5160,0,0,865,5.97,6178,0.84,320,6.2,,
8600,윌비스 ,1800,-60,-3.23,,,1552,1.16,0,0,,
8700,아남전자 ,2550,100,4.08,71,35.92,767,3.32,0,0,,
8730,율촌화학 ,23050,50,0.22,814,28.32,14018,1.64,500,2.17,,
8770,호텔신라 ,77900,-700,-0.89,,,15588,5,200,0.26,,
8775,호텔신라우 ,80100,-700,-0.87,,,,,250,0.31,,
8830,대동기어 ,5930,-190,-3.1,260,22.81,7212,0.82,40,0.67,,
8870,금비 ,65900,500,0.76,,,99607,0.66,1300,1.97,,
8930,한미사이언스 ,53700,-700,-1.29,343,156.56,9788,5.49,200,0.37,,
8970,동양철관 ,1295,-5,-0.38,59,21.95,736,1.76,0,0,,
9070,KCTC ,6160,160,2.67,433,14.23,6783,0.91,50,0.81,,
9140,경인전자 ,28800,-800,-2.7,1033,27.88,34421,0.84,250,0.87,,
9150,삼성전기 ,178000,500,0.28,7993,22.27,74385,2.39,1400,0.79,,
9155,삼성전기우 ,98000,-800,-0.81,,,,,1450,1.48,,
9160,SIMPAC ,6750,-150,-2.17,586,11.52,7091,0.95,60,0.89,,
9180,한솔로지스틱스 ,4345,85,2,316,13.75,1989,2.18,50,1.15,,
9190,대양금속 ,4885,-115,-2.3,,,1790,2.73,0,0,,
9200,무림페이퍼 ,2585,-50,-1.9,,,9572,0.27,50,1.93,,
9240,한샘 ,91100,-2300,-2.46,3766,24.19,25832,3.53,1300,1.43,,
9270,신원 ,2800,50,1.82,,,2204,1.27,0,0,,
9275,신원우 ,39800,-400,-1,,,,,0,0,,
9290,광동제약 ,7100,-50,-0.7,1119,6.34,9112,0.78,100,1.41,,
9300,삼아제약 ,18700,50,0.27,20,935,26105,0.72,300,1.6,,
9310,참엔지니어링 ,1195,-30,-2.45,90,13.28,1453,0.82,0,0,,
9320,대우부품 ,2670,-125,-4.47,,,733,3.64,0,0,,
9410,태영건설 ,10350,-150,-1.43,9514,1.09,15974,0.65,325,3.14,,
9415,태영건설우 ,11400,-500,-4.2,,,,,330,2.89,,
9420,한올바이오파마 ,20150,-100,-0.49,386,52.2,3470,5.81,0,0,,
9440,KC그린홀딩스 ,4715,-80,-1.67,,,6349,0.74,40,0.85,,
9450,경동나비엔 ,59400,-900,-1.49,3261,18.22,25591,2.32,350,0.59,,
9460,한창제지 ,2140,50,2.39,177,12.09,1587,1.35,20,0.93,,
9470,삼화전기 ,31600,-450,-1.4,637,49.61,7420,4.26,100,0.32,,
9520,포스코엠텍 ,7490,-30,-0.4,226,33.14,2315,3.24,80,1.07,,
9540,한국조선해양 ,96900,700,0.73,,,154102,0.63,0,0,,
9580,무림P&P ,4010,-20,-0.5,,,9520,0.42,125,3.12,,
9620,삼보산업 ,1915,-5,-0.26,,,462,4.15,0,0,,
9680,모토닉 ,10550,50,0.48,679,15.54,12565,0.84,400,3.79,,
9730,코센 ,905,0,0,,,694,1.3,0,0,,
9770,삼정펄프 ,28000,-400,-1.41,10743,2.61,84390,0.33,1000,3.57,,
9780,엠에스씨 ,5980,-100,-1.64,508,11.77,5724,1.04,60,1,,
9810,플레이그램 ,2825,-30,-1.05,86,32.85,783,3.61,0,0,,
9830,한화솔루션 ,34900,-450,-1.27,1860,18.76,35699,0.98,0,0,,
9835,한화솔루션우 ,36550,-700,-1.88,,,,,0,0,,
9900,명신산업 ,27700,-200,-0.72,,,4177,6.63,0,0,,
9970,영원무역홀딩스 ,48500,-1200,-2.41,9036,5.37,100526,0.48,1200,2.47,,
10040,한국내화 ,3675,5,0.14,66,55.68,6306,0.58,35,0.95,,
10050,우리종금 ,983,-2,-0.2,89,11.04,605,1.62,10,1.02,,
10060,OCI ,114500,-2000,-1.72,,,98159,1.17,0,0,,
10100,한국프랜지 ,2725,-10,-0.37,379,7.19,7395,0.37,50,1.83,,
10120,LS ELECTRIC ,56700,-1000,-1.73,2905,19.52,47050,1.21,1100,1.94,,
10130,고려아연 ,499000,-3000,-0.6,32418,15.39,369358,1.35,15000,3.01,,
10140,삼성중공업 ,5580,20,0.36,,,5536,1.01,0,0,,
10145,삼성중공우 ,240000,-1000,-0.41,,,,,0,0,,
10170,대한광통신 ,2885,55,1.94,,,2069,1.39,0,0,,
10240,흥국 ,7790,160,2.1,989,7.88,6008,1.3,180,2.31,,
10280,쌍용정보통신 ,918,-18,-1.92,,,597,1.54,0,0,,
10400,우진아이엔에스 ,7320,110,1.53,247,29.64,13308,0.55,250,3.42,,
10420,한솔PNS ,1930,5,0.26,144,13.4,2130,0.91,25,1.3,,
10470,오리콤 ,6820,-100,-1.45,68,100.29,6929,0.98,220,3.23,,
10580,지코 ,1530,0,0,,,885,1.73,0,0,,
10600,웰바이오텍 ,1640,-25,-1.5,,,419,3.91,0,0,,
10620,현대미포조선 ,78000,3200,4.28,,,58248,1.34,0,0,,
10640,진양폴리 ,4790,-10,-0.21,161,29.75,2691,1.78,125,2.61,,
10660,화천기계 ,2580,-5,-0.19,,,5464,0.47,0,0,,
10690,화신 ,9100,-90,-0.98,,,7321,1.24,50,0.55,,
10770,평화홀딩스 ,4615,45,0.98,,,7852,0.59,150,3.25,,
10780,아이에스동서 ,45050,1350,3.09,4070,11.07,38111,1.18,1000,2.22,,
10820,퍼스텍 ,2125,-10,-0.47,151,14.07,930,2.28,0,0,,
10950,S-Oil ,87800,-1400,-1.57,,,48733,1.8,0,0,,
10955,S-Oil우 ,56500,300,0.53,,,,,25,0.04,,
10960,삼호개발 ,5060,20,0.4,802,6.31,8443,0.6,190,3.75,,
11000,진원생명과학 ,25900,500,1.97,,,2154,12.02,0,0,,
11040,경동제약 ,11500,-100,-0.86,508,22.64,8521,1.35,500,4.35,,
11070,LG이노텍 ,294000,3000,1.03,9978,29.46,102576,2.87,700,0.24,,
11080,형지I&C ,1290,-50,-3.73,,,404,3.19,0,0,,
11090,에넥스 ,2660,-55,-2.03,,,754,3.53,0,0,,
11150,CJ씨푸드 ,3795,-40,-1.04,58,65.43,1823,2.08,0,0,,
11155,CJ씨푸드1우 ,39450,-250,-0.63,,,,,0,0,,
11170,롯데케미칼 ,207000,-3500,-1.66,4623,44.78,374803,0.55,3600,1.74,,
11200,HMM ,24850,-150,-0.6,103,241.26,5164,4.81,0,0,,
11210,현대위아 ,77300,-200,-0.26,2295,33.68,114656,0.67,700,0.91,,
11230,삼화전자 ,4015,-75,-1.83,,,931,4.31,0,0,,
11280,태림포장 ,4230,-100,-2.31,43,98.37,4352,0.97,0,0,,
11300,성안 ,787,0,0,,,977,0.81,0,0,,
11320,유니크 ,7190,-60,-0.83,,,5173,1.39,0,0,,
11330,유니켐 ,1360,-5,-0.37,162,8.4,1423,0.96,50,3.68,,
11370,서한 ,1730,0,0,180,9.61,3149,0.55,40,2.31,,
11390,부산산업 ,109000,-500,-0.46,2333,46.72,54994,1.98,250,0.23,,
11420,갤럭시아에스엠 ,2975,60,2.06,36,82.64,752,3.96,0,0,,
11500,한농화성 ,16550,-450,-2.65,849,19.49,8368,1.98,180,1.09,,
11560,세보엠이씨 ,6440,-100,-1.53,693,9.29,14701,0.44,200,3.11,,
11690,와이투솔루션 ,2440,0,0,,,1090,2.24,0,0,,
11700,한신기계 ,3910,-100,-2.49,111,35.23,2538,1.54,35,0.9,,
11760,현대코퍼레이션 ,17100,-100,-0.58,3980,4.3,23665,0.72,600,3.51,,
11780,금호석유 ,162000,1000,0.62,20881,7.76,94002,1.72,4200,2.59,,
11785,금호석유우 ,110000,500,0.46,,,,,4250,3.86,,
11790,SKC ,199000,3000,1.53,1048,189.89,47746,4.17,1000,0.5,,
11810,STX ,3980,-10,-0.25,,,1314,3.03,0,0,,
11930,신성이엔지 ,2080,-60,-2.8,,,950,2.19,0,0,,
12030,DB ,1035,-10,-0.96,33,31.36,1559,0.66,0,0,,
12160,영흥 ,1080,0,0,,,1582,0.68,20,1.85,,
12170,아센디오 ,1645,-135,-7.58,,,305,5.39,0,0,,
12200,계양전기 ,4200,-80,-1.87,294,14.29,5664,0.74,35,0.83,,
12205,계양전기우 ,6600,-80,-1.2,,,,,40,0.61,,
12280,영화금속 ,1620,-5,-0.31,,,1380,1.17,15,0.93,,
12320,경동인베스트 ,36050,50,0.14,6956,5.18,178373,0.2,500,1.39,,
12330,현대모비스 ,240500,-2500,-1.03,16389,14.67,349812,0.69,4000,1.66,,
12340,뉴인텍 ,3290,-75,-2.23,13,253.08,915,3.6,0,0,,
12450,한화에어로스페이스 ,44400,500,1.14,2390,18.58,51308,0.87,600,1.35,,
12510,더존비즈온 ,77500,800,1.04,1830,42.35,12507,6.2,450,0.58,,
12600,센트럴인사이트 ,2490,0,0,,,1394,1.79,0,0,,
12610,경인양행 ,6600,-80,-1.2,,,5059,1.3,50,0.76,,
12620,원일특강 ,12950,-400,-3,330,39.24,26940,0.48,120,0.93,,
12630,HDC ,10250,0,0,1869,5.48,37479,0.27,250,2.44,,
12690,모나리자 ,3920,-50,-1.26,217,18.06,1947,2.01,75,1.91,,
12700,리드코프 ,9220,0,0,1780,5.18,15516,0.59,800,8.68,,
12750,에스원 ,76600,-700,-0.91,4203,18.23,36426,2.1,2500,3.26,,
12790,신일제약 ,10900,-200,-1.8,699,15.59,9591,1.14,100,0.92,,
12800,대창 ,1850,-45,-2.37,85,21.76,2086,0.89,0,0,,
12860,모베이스전자 ,2080,-45,-2.12,,,2652,0.78,0,0,,
13000,세우글로벌 ,1940,30,1.57,,,1546,1.25,0,0,,
13030,하이록코리아 ,16700,-400,-2.34,390,42.82,24224,0.69,500,2.99,,
13120,동원개발 ,5120,-40,-0.78,1590,3.22,9919,0.52,185,3.61,,
13310,아진산업 ,3305,-115,-3.36,,,5295,0.62,0,0,,
13360,일성건설 ,6140,-200,-3.15,49,125.31,1673,3.67,15,0.24,,
13520,화승코퍼레이션 ,2400,-70,-2.83,,,3196,0.75,25,1.04,,
13570,디와이 ,7150,0,0,,,12760,0.56,100,1.4,,
13580,계룡건설 ,35450,-350,-0.98,10992,3.23,61926,0.57,600,1.69,,
13700,까뮤이앤씨 ,2220,5,0.23,208,10.67,1833,1.21,20,0.9,,
13720,CBI ,4800,195,4.23,,,485,9.9,0,0,,
13810,스페코 ,5320,-120,-2.21,621,8.57,2807,1.9,50,0.94,,
13870,지엠비코리아 ,6160,-20,-0.32,,,11553,0.53,0,0,,
13890,지누스 ,83500,-1600,-1.88,3051,27.37,26243,3.18,800,0.96,,
13990,아가방컴퍼니 ,5470,110,2.05,,,4042,1.35,0,0,,
14100,메디앙스 ,6200,0,0,365,16.99,7400,0.84,0,0,,
14130,한익스프레스 ,5950,110,1.88,,,5662,1.05,0,0,,
14160,대영포장 ,2545,-85,-3.23,31,82.1,1420,1.79,0,0,,
14190,원익큐브 ,3650,-90,-2.41,87,41.95,2370,1.54,0,0,,
14200,광림 ,2310,70,3.13,,,1279,1.81,0,0,,
14280,금강공업 ,8150,80,0.99,,,10094,0.81,40,0.49,,
14285,금강공업우 ,12450,100,0.81,,,,,50,0.4,,
14440,영보화학 ,4375,375,9.38,146,29.97,7376,0.59,75,1.71,,
14470,부방 ,2495,-35,-1.38,,,2947,0.85,0,0,,
14530,극동유화 ,3840,-80,-2.04,213,18.03,4917,0.78,140,3.65,,
14570,고려제약 ,8800,20,0.23,677,13,6443,1.37,150,1.7,,
14580,태경비케이 ,5280,-100,-1.86,167,31.62,4950,1.07,100,1.89,,
14620,성광벤드 ,8530,130,1.55,,,15286,0.56,100,1.17,,
14680,한솔케미칼 ,317000,0,0,11067,28.64,48977,6.47,1800,0.57,,
14710,사조씨푸드 ,5320,20,0.38,455,11.69,12244,0.43,0,0,,
14790,한라 ,5400,50,0.93,1239,4.36,7489,0.72,100,1.85,,
14820,동원시스템즈 ,56200,500,0.9,2003,28.06,18717,3,600,1.07,,
14825,동원시스템즈우 ,32750,-400,-1.21,,,,,650,1.98,,
14830,유니드 ,106000,-500,-0.47,8773,12.08,88230,1.2,1400,1.32,,
14910,성문전자 ,2570,-100,-3.75,,,1311,1.96,0,0,,
14915,성문전자우 ,8820,100,1.15,,,,,5,0.06,,
14940,오리엔탈정공 ,3740,-115,-2.98,644,5.81,1320,2.83,0,0,,
14970,삼륭물산 ,7080,-20,-0.28,,,4330,1.64,75,1.06,,
14990,인디에프 ,1405,10,0.72,,,699,2.01,0,0,,
15020,이스타코 ,3435,-145,-4.05,,,1139,3.02,0,0,,
15230,대창단조 ,7870,-150,-1.87,1004,7.84,13119,0.6,180,2.29,,
15260,에이엔피 ,2135,-165,-7.17,,,1864,1.15,0,0,,
15350,부산가스 ,84300,200,0.24,17935,4.7,78785,1.07,1000,1.19,,
15360,예스코홀딩스 ,37350,600,1.63,,,79284,0.47,2000,5.35,,
15540,쎌마테라퓨틱스 ,6410,0,0,,,60,106.83,0,0,,
15590,큐로 ,496,-2,-0.4,7,70.86,473,1.05,0,0,,
15710,코콤 ,6920,-260,-3.62,438,15.8,6987,0.99,155,2.24,,
15750,성우하이텍 ,5860,-100,-1.68,,,12845,0.46,50,0.85,,
15760,한국전력 ,22250,-50,-0.22,3102,7.17,107945,0.21,1216,5.47,,
15860,일진홀딩스 ,5720,-130,-2.22,220,26,5870,0.97,100,1.75,,
15890,태경산업 ,6850,-30,-0.44,186,36.83,7968,0.86,240,3.5,,
16090,대현 ,2255,-40,-1.74,204,11.05,4597,0.49,40,1.77,,
16100,리더스코스메틱 ,3585,-120,-3.24,1313,2.73,3725,0.96,0,0,,
16250,SGC이테크건설 ,69400,-600,-0.86,56262,1.23,69879,0.99,1500,2.16,,
16360,삼성증권 ,46800,-200,-0.43,5686,8.23,59542,0.79,2200,4.7,,
16380,KG동부제철 ,10700,-150,-1.38,668,16.02,9715,1.1,100,0.93,,
16385,KG동부제철우 ,99300,900,0.91,,,,,150,0.15,,
16450,한세예스24홀딩스 ,7560,-110,-1.43,1385,5.46,9208,0.82,250,3.31,,
16580,환인제약 ,17450,50,0.29,1532,11.39,15920,1.1,300,1.72,,
16590,신대양제지 ,83700,-1300,-1.53,10710,7.82,112846,0.74,625,0.75,,
16600,큐캐피탈 ,580,-23,-3.81,14,41.43,770,0.75,0,0,,
16610,DB금융투자 ,7080,-50,-0.7,2327,3.04,18855,0.38,300,4.24,,
16670,인피니티엔티 ,973,0,0,,,629,1.55,0,0,,
16710,대성홀딩스 ,44350,100,0.23,2649,16.74,28431,1.56,250,0.56,,
16740,두올 ,4020,-80,-1.95,163,24.66,5419,0.74,80,1.99,,
16790,현대사료 ,14950,-150,-0.99,21,711.9,9588,1.56,100,0.67,,
16800,퍼시스 ,37250,-900,-2.36,3660,10.18,40080,0.93,1000,2.68,,
16880,웅진 ,1935,-10,-0.51,,,489,3.96,0,0,,
16920,카스 ,4305,-165,-3.69,,,1850,2.33,10,0.23,,
17000,신원종합개발 ,17600,-750,-4.09,,,7436,2.37,0,0,,
17040,광명전기 ,2645,-40,-1.49,108,24.49,2362,1.12,15,0.57,,
17180,명문제약 ,4815,-15,-0.31,,,2568,1.88,0,0,,
17250,인터엠 ,1375,10,0.73,,,2207,0.62,0,0,,
17370,우신시스템 ,4295,-255,-5.6,,,5632,0.76,0,0,,
17390,서울가스 ,160500,1500,0.94,33732,4.76,206106,0.78,16750,10.44,,
17480,삼현철강 ,5860,-100,-1.68,500,11.72,9834,0.6,150,2.56,,
17510,세명전기 ,4505,5,0.11,141,31.95,4741,0.95,70,1.55,,
17550,수산중공업 ,2615,-35,-1.32,78,33.53,1920,1.36,10,0.38,,
17650,대림제지 ,12250,50,0.41,1468,8.34,20571,0.6,75,0.61,,
17670,SK텔레콤 ,309500,0,0,20463,15.12,294058,1.05,10000,3.23,,
17800,현대엘리베이 ,44000,-250,-0.56,2389,18.42,24732,1.78,800,1.82,,
17810,풀무원 ,17000,100,0.59,399,42.61,10677,1.59,102,0.6,,
17890,한국알콜 ,12350,-200,-1.59,2478,4.98,17265,0.72,100,0.81,,
17900,광전자 ,3365,-75,-2.18,,,3448,0.98,0,0,,
17940,E1 ,49250,-100,-0.2,10427,4.72,172701,0.29,2200,4.47,,
17960,한국카본 ,10350,-50,-0.48,1377,7.52,8656,1.2,180,1.74,,
18000,유니슨 ,3035,135,4.66,,,625,4.86,0,0,,
18120,진로발효 ,31250,0,0,1717,18.2,12070,2.59,1350,4.32,,
18250,애경산업 ,20300,-200,-0.98,437,46.45,12610,1.61,200,0.99,,
18260,삼성에스디에스 ,154000,-1000,-0.65,5733,26.86,86188,1.79,2400,1.56,,
18290,브이티지엠피 ,8000,-60,-0.74,34,235.29,2067,3.87,0,0,,
18310,삼목에스폼 ,14750,-150,-1.01,58,254.31,23099,0.64,0,0,,
18470,조일알미늄 ,2340,135,6.12,,,1274,1.84,0,0,,
18500,동원금속 ,929,-16,-1.69,,,684,1.36,0,0,,
18620,우진비앤지 ,2090,-10,-0.48,,,1082,1.93,0,0,,
18670,SK가스 ,127000,6500,5.39,29674,4.28,205706,0.62,4000,3.15,,
18680,서울제약 ,6310,-70,-1.1,,,3385,1.86,0,0,,
18700,바른손 ,4520,-165,-3.52,,,1397,3.24,0,0,,
18880,한온시스템 ,13650,200,1.49,207,65.94,3967,3.44,320,2.34,,
19010,베뉴지 ,2220,-20,-0.89,216,10.28,5453,0.41,30,1.35,,
19170,신풍제약 ,31350,-5100,-13.99,100,313.5,6766,4.63,100,0.32,,
19175,신풍제약우 ,39100,-7700,-16.45,,,,,115,0.29,,
19180,티에이치엔 ,4430,150,3.5,,,3741,1.18,30,0.68,,
19210,와이지-원 ,7260,-50,-0.68,,,8573,0.85,100,1.38,,
19440,세아특수강 ,16300,0,0,,,35541,0.46,700,4.29,,
19490,하이트론 ,4670,-35,-0.74,,,2286,2.04,0,0,,
19540,일지테크 ,3400,-80,-2.3,,,7923,0.43,0,0,,
19550,SBI인베스트먼트 ,1740,-5,-0.29,86,20.23,673,2.59,0,0,,
19570,리더스 기술투자 ,552,0,0,110,5.02,416,1.33,0,0,,
19590,엠벤처투자 ,1270,0,0,,,501,2.53,0,0,,
19660,글로본 ,3850,-150,-3.75,,,585,6.58,0,0,,
19680,대교 ,4015,-5,-0.12,,,5333,0.75,100,2.49,,
19685,대교우B ,2930,-60,-2.01,,,,,110,3.75,,
19770,서연탑메탈 ,5930,-80,-1.33,307,19.32,5898,1.01,85,1.43,,
19990,에너토크 ,12300,550,4.68,47,261.7,4162,2.96,50,0.41,,
20000,한섬 ,37050,-600,-1.59,3873,9.57,45559,0.81,450,1.21,,
20120,키다리스튜디오 ,16700,200,1.21,4,4175,1469,11.37,0,0,,
20150,일진머티리얼즈 ,134500,3000,2.28,927,145.09,13255,10.15,200,0.15,,
20180,대신정보통신 ,1140,10,0.88,44,25.91,712,1.6,10,0.88,,
20400,대동금속 ,10050,50,0.5,585,17.18,13796,0.73,60,0.6,,
20560,아시아나항공 ,19550,-200,-1.01,,,13861,1.41,0,0,,
20710,시공테크 ,7270,490,7.23,272,26.73,5628,1.29,70,0.96,,
20760,일진디스플 ,2970,-50,-1.66,,,939,3.16,0,0,,
21040,대호특수강 ,738,-15,-1.99,,,660,1.12,0,0,,
21045,대호특수강우 ,1460,-10,-0.68,,,,,0,0,,
21050,서원 ,2060,-30,-1.44,,,2118,0.97,0,0,,
21080,에이티넘인베스트 ,5240,230,4.59,305,17.18,1915,2.74,100,1.91,,
21240,코웨이 ,74400,200,0.27,5584,13.32,20207,3.68,1200,1.61,,
21320,KCC건설 ,8900,-30,-0.34,1806,4.93,18717,0.48,180,2.02,,
21650,한국큐빅 ,4485,150,3.46,647,6.93,4116,1.09,50,1.11,,
21820,세원정공 ,8090,0,0,760,10.64,41536,0.19,25,0.31,,
21880,메이슨캐피탈 ,530,4,0.76,21,25.24,331,1.6,0,0,,
22100,포스코 ICT ,6350,-90,-1.4,57,111.4,2425,2.62,50,0.79,,
22220,정산애강 ,2080,0,0,48,43.33,1655,1.26,0,0,,
23000,삼원강재 ,3365,60,1.82,204,16.5,5319,0.63,105,3.12,,
23150,MH에탄올 ,10050,70,0.7,1049,9.58,8318,1.21,350,3.48,,
23160,태광 ,11250,0,0,,,15904,0.71,50,0.44,,
23350,한국종합기술 ,7070,-20,-0.28,591,11.96,12558,0.56,100,1.41,,
23410,유진기업 ,4950,-60,-1.2,692,7.15,10357,0.48,170,3.43,,
23440,제일제강 ,2580,-120,-4.44,,,2103,1.23,0,0,,
23450,동남합성 ,62800,-400,-0.63,2763,22.73,13579,4.62,9900,15.76,,
23460,CNH ,2820,-5,-0.18,824,3.42,3446,0.82,50,1.77,,
23530,롯데쇼핑 ,94700,-2000,-2.07,,,346484,0.27,2800,2.96,,
23590,다우기술 ,23400,-350,-1.47,6370,3.67,35388,0.66,500,2.14,,
23600,삼보판지 ,15800,-350,-2.17,2263,6.98,24231,0.65,125,0.79,,
23760,한국캐피탈 ,887,-9,-1,103,8.61,972,0.91,25,2.82,,
23770,플레이위드 ,11000,-150,-1.35,1552,7.09,3798,2.9,300,2.73,,
23790,동일철강 ,4170,-25,-0.6,,,3934,1.06,0,0,,
23800,인지컨트롤스 ,15550,700,4.71,,,11640,1.34,100,0.64,,
23810,인팩 ,12600,-250,-1.95,337,37.39,9650,1.31,150,1.19,,
23900,풍국주정 ,16250,-50,-0.31,651,24.96,11172,1.45,180,1.11,,
23910,대한약품 ,29650,-100,-0.34,2897,10.23,30321,0.98,400,1.35,,
23960,에쓰씨엔지니어링 ,3150,-40,-1.25,,,786,4.01,0,0,,
24060,흥구석유 ,7070,0,0,330,21.42,5307,1.33,150,2.12,,
24070,WISCOM ,3765,-125,-3.21,,,7616,0.49,50,1.33,,
24090,디씨엠 ,28700,250,0.88,2166,13.25,16153,1.78,500,1.74,,
24110,기업은행 ,11150,-150,-1.33,1977,5.64,31597,0.35,471,4.22,,
24120,KB오토시스 ,6680,-180,-2.62,289,23.11,8921,0.75,170,2.54,,
24720,한국콜마홀딩스 ,20750,-450,-2.12,6123,3.39,29717,0.7,205,0.99,,
24740,한일단조 ,2445,-55,-2.2,,,3547,0.69,0,0,,
24800,유성티엔에스 ,3130,30,0.97,2123,1.47,9044,0.35,15,0.48,,
24810,이화전기 ,1555,-35,-2.2,,,2650,0.59,0,0,,
24830,세원물산 ,6280,0,0,2199,2.86,24775,0.25,25,0.4,,
24840,KBI메탈 ,1990,-20,-1,56,35.54,2806,0.71,0,0,,
24850,피에스엠씨 ,1145,-25,-2.14,,,325,3.52,0,0,,
24880,케이피에프 ,4770,-30,-0.63,,,8340,0.57,130,2.73,,
24890,대원화성 ,4020,-285,-6.62,,,1843,2.18,10,0.25,,
24900,덕양산업 ,3235,-65,-1.97,,,1362,2.38,0,0,,
24910,경창산업 ,3310,-55,-1.63,135,24.52,2329,1.42,0,0,,
24940,PN풍년 ,5080,-70,-1.36,256,19.84,3955,1.28,25,0.49,,
24950,삼천리자전거 ,9200,-90,-0.97,1090,8.44,7038,1.31,200,2.17,,
