종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,,2021
1120,LX인터내셔널 ,25500,-500,-1.92,7932,3.21,34525,0.74,400,1.57,,
1130,대한제분 ,154500,0,0,12494,12.37,461663,0.33,2000,1.29,,
1140,국보 ,1640,-55,-3.24,,,609,2.69,0,0,,
1200,유진투자증권 ,3810,-65,-1.68,797,4.78,8932,0.43,120,3.15,,
1210,금호전기 ,3375,-5,-0.15,,,1369,2.47,0,0,,
1230,동국제강 ,15600,-300,-1.89,700,22.29,21305,0.73,200,1.28,,
1250,GS글로벌 ,2465,0,0,,,3465,0.71,0,0,,
1260,남광토건 ,12900,-450,-3.37,1401,9.21,6746,1.91,0,0,,
1270,부국증권 ,24400,-50,-0.2,6784,3.6,41949,0.58,1200,4.92,,
1275,부국증권우 ,22950,50,0.22,,,,,1250,5.45,,
1290,상상인증권 ,1125,-25,-2.17,27,41.67,1799,0.63,0,0,,
1340,백광산업 ,5720,-160,-2.72,232,24.66,3946,1.45,50,0.87,,
1360,삼성제약 ,4945,-55,-1.1,,,1981,2.5,0,0,,
1380,SG글로벌 ,1770,-35,-1.94,,,2812,0.63,0,0,,
1390,KG케미칼 ,32400,-600,-1.82,3358,9.65,29370,1.1,400,1.23,,
1420,태원물산 ,5340,-60,-1.11,,,4160,1.28,50,0.94,,
1430,세아베스틸 ,19950,-300,-1.48,,,45201,0.44,200,1,,
1440,대한전선 ,1895,-15,-0.79,3,631.67,402,4.71,0,0,,
1450,현대해상 ,25150,-550,-2.14,3955,6.36,53743,0.47,1000,3.98,,
1460,BYC ,437000,5500,1.27,21904,19.95,538911,0.81,1100,0.25,,
1465,BYC우 ,172000,-1000,-0.58,,,,,1150,0.67,,
1470,삼부토건 ,2305,-85,-3.56,,,1397,1.65,0,0,,
1500,현대차증권 ,12900,-100,-0.77,2739,4.71,27500,0.47,675,5.23,,
1510,SK증권 ,1000,-5,-0.5,25,40,1207,0.83,10,1,,
1515,SK증권우 ,3975,-15,-0.38,,,,,15,0.38,,
1520,동양 ,1530,-20,-1.29,,,3285,0.47,40,2.61,,
1525,동양우 ,7470,0,0,,,,,90,1.2,,
1527,동양2우B ,14300,200,1.42,,,,,150,1.05,,
1529,동양3우B ,31600,-300,-0.94,,,,,150,0.47,,
1530,DI동일 ,298000,4000,1.36,10653,27.97,198359,1.5,1500,0.5,,
1540,안국약품 ,9930,40,0.4,,,11048,0.9,220,2.22,,
1550,조비 ,21650,-300,-1.37,579,37.39,9861,2.2,0,0,,
1560,제일연마 ,9100,-280,-2.99,435,20.92,8589,1.06,220,2.42,,
1570,금양 ,5350,150,2.88,,,1797,2.98,0,0,,
1620,케이비아이동국실업 ,836,-19,-2.22,,,2511,0.33,0,0,,
1630,종근당홀딩스 ,76100,-1300,-1.68,15711,4.84,107821,0.71,1400,1.84,,
1680,대상 ,23200,-350,-1.49,3473,6.68,30083,0.77,700,3.02,,
1685,대상우 ,16750,-250,-1.47,,,,,710,4.24,,
1720,신영증권 ,59100,-300,-0.51,22418,2.64,81242,0.73,4000,6.77,,
1725,신영증권우 ,59700,-300,-0.5,,,,,4050,6.78,,
1740,SK네트웍스 ,5130,-10,-0.19,153,33.53,8289,0.62,120,2.34,,
1745,SK네트웍스우 ,85300,0,0,,,,,145,0.17,,
1750,한양증권 ,15650,-50,-0.32,3583,4.37,26489,0.59,750,4.79,,
1755,한양증권우 ,19700,100,0.51,,,,,800,4.06,,
1770,SHD ,28500,-50,-0.18,403,70.72,28484,1,100,0.35,,
1780,알루코 ,3640,30,0.83,,,2427,1.5,0,0,,
1790,대한제당 ,3305,-40,-1.2,263,12.57,4974,0.66,180,5.45,,
1795,대한제당우 ,3240,-40,-1.22,,,,,185,5.71,,
1800,오리온홀딩스 ,15700,-100,-0.63,1289,12.18,31390,0.5,650,4.14,,
1810,무림SP ,3105,15,0.49,79,39.3,9248,0.34,25,0.81,,
1820,삼화콘덴서 ,59800,-200,-0.33,2272,26.32,16709,3.58,300,0.5,,
1840,이화공영 ,5740,-150,-2.55,15,382.67,2156,2.66,10,0.17,,
1880,DL건설 ,27500,0,0,7953,3.46,34403,0.8,550,2,,
1940,KISCO홀딩스 ,15750,-450,-2.78,2260,6.97,45645,0.35,300,1.9,,
2020,코오롱 ,32200,-750,-2.28,10889,2.96,52610,0.61,500,1.55,,
2025,코오롱우 ,20000,-100,-0.5,,,,,550,2.75,,
2030,아세아 ,125000,1000,0.81,22188,5.63,369251,0.34,2000,1.6,,
2070,비비안 ,3125,85,2.8,,,3376,0.93,0,0,,
2100,경농 ,11650,-100,-0.85,706,16.5,8886,1.31,250,2.15,,
2140,고려산업 ,3030,-45,-1.46,278,10.9,4108,0.74,35,1.16,,
2150,도화엔지니어링 ,7760,30,0.39,535,14.5,7617,1.02,280,3.61,,
2170,삼양통상 ,59200,-600,-1,17515,3.38,125195,0.47,1250,2.11,,
2200,한국수출포장 ,25850,-50,-0.19,2090,12.37,63143,0.41,600,2.32,,
2210,동성제약 ,8260,-110,-1.31,,,2105,3.92,0,0,,
