종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
20,동화약품 ,15100,-300,-1.95,1033,14.62,11860,1.27,180,1.19
40,KR모터스 ,997,-1,-0.1,,,396,2.52,0,0
50,경방 ,13800,0,0,499,27.66,27063,0.51,125,0.91
60,메리츠화재 ,29450,-800,-2.64,3856,7.64,22175,1.33,1280,4.35
70,삼양홀딩스 ,105500,500,0.48,13218,7.98,171357,0.62,2250,2.13
75,삼양홀딩스우 ,68900,0,0,,,,,2300,3.34
80,하이트진로 ,33800,-250,-0.73,1246,27.13,15067,2.24,750,2.22
87,하이트진로2우B ,20600,-100,-0.48,,,,,800,3.88
100,유한양행 ,61100,-400,-0.65,2943,20.76,25880,2.36,400,0.65
105,유한양행우 ,58900,300,0.51,,,,,410,0.7
120,CJ대한통운 ,145000,-500,-0.34,5683,25.51,146331,0.99,0,0
140,하이트진로홀딩스 ,14650,-150,-1.01,3014,4.86,20817,0.7,400,2.73
145,하이트진로홀딩스우 ,17550,150,0.86,,,,,450,2.56
150,두산 ,125500,15500,14.09,,,77507,1.62,2000,1.59
155,두산우 ,80400,5200,6.91,,,,,2050,2.55
157,두산2우B ,133000,5000,3.91,,,,,2000,1.5
180,성창기업지주 ,2540,10,0.4,78,32.56,7637,0.33,0,0
210,DL ,65300,-1100,-1.66,13077,4.99,67178,0.97,1300,1.99
215,DL우 ,40350,-350,-0.86,,,,,1350,3.35
220,유유제약 ,7320,-70,-0.95,84,87.14,6360,1.15,210,2.87
225,유유제약1우 ,10150,150,1.5,,,,,220,2.17
227,유유제약2우B ,23150,-150,-0.64,,,,,0,0
230,일동홀딩스 ,13450,-250,-1.82,,,10633,1.26,100,0.74
240,한국앤컴퍼니 ,17750,650,3.8,1848,9.6,36437,0.49,500,2.82
250,삼천당제약 ,50600,300,0.6,,,8197,6.17,0,0
270,기아 ,87000,2000,2.35,3710,23.45,73740,1.18,1000,1.15
300,대유플러스 ,1510,-15,-0.98,,,825,1.83,0,0
320,노루홀딩스 ,12300,-50,-0.4,1343,9.16,27547,0.45,450,3.66
325,노루홀딩스우 ,47400,-1600,-3.27,,,,,455,0.96
370,한화손해보험 ,4455,-75,-1.66,315,14.14,14390,0.31,0,0
390,삼화페인트 ,9890,-100,-1,294,33.64,10862,0.91,150,1.52
400,롯데손해보험 ,1880,15,0.8,,,3050,0.62,0,0
430,대원강업 ,4055,-65,-1.58,,,7487,0.54,100,2.47
440,중앙에너비스 ,18500,450,2.49,4144,4.46,9893,1.87,480,2.59
480,조선내화 ,88000,-100,-0.11,10421,8.44,154303,0.57,4200,4.77
490,대동 ,10150,-300,-2.87,985,10.3,13301,0.76,80,0.79
500,가온전선 ,27900,-200,-0.71,2418,11.54,63351,0.44,600,2.15
520,삼일제약 ,8090,-30,-0.37,110,73.55,4746,1.7,75,0.93
540,흥국화재 ,3820,-15,-0.39,268,14.25,11107,0.34,0,0
545,흥국화재우 ,8700,-60,-0.68,,,,,0,0
547,흥국화재2우B ,28100,-100,-0.35,,,,,0,0
590,CS홀딩스 ,64800,-100,-0.15,6657,9.73,210057,0.31,500,0.77
640,동아쏘시오홀딩스 ,107500,0,0,26725,4.02,144380,0.74,1000,0.93
650,천일고속 ,69000,1100,1.62,,,26545,2.6,3000,4.35
660,SK하이닉스 ,106000,500,0.47,6952,15.25,71275,1.49,1170,1.1
670,영풍 ,687000,2000,0.29,77108,8.91,1803019,0.38,10000,1.46
680,LS네트웍스 ,3400,30,0.89,,,6258,0.54,0,0
700,유수홀딩스 ,5880,-120,-2,3202,1.84,11744,0.5,500,8.5
720,현대건설 ,51600,200,0.39,1067,48.36,57894,0.89,600,1.16
725,현대건설우 ,96500,-12000,-11.06,,,,,650,0.67
760,이화산업 ,16700,-100,-0.6,,,35475,0.47,0,0
810,삼성화재 ,229000,-4500,-1.93,17760,12.89,321574,0.71,8800,3.84
815,삼성화재우 ,174000,-3000,-1.69,,,,,8805,5.06
850,화천기공 ,35800,-600,-1.65,2053,17.44,134620,0.27,750,2.09
860,강남제비스코 ,24400,-200,-0.81,3583,6.81,84026,0.29,500,2.05
880,한화 ,32300,50,0.16,2831,11.41,46059,0.7,700,2.17
885,한화우 ,37800,-700,-1.82,,,,,750,1.98
890,보해양조 ,970,-6,-0.61,14,69.29,617,1.57,0,0
910,유니온 ,9220,140,1.54,951,9.7,8009,1.15,125,1.36
