종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
20,동화약품 ,13650,-650,-4.55,1033,13.21,11860,1.15,180,1.32
40,KR모터스 ,942,-24,-2.48,,,396,2.38,0,0
50,경방 ,13750,-50,-0.36,499,27.56,27063,0.51,125,0.91
60,메리츠화재 ,28900,-1100,-3.67,3856,7.49,22175,1.3,1280,4.43
70,삼양홀딩스 ,97500,-1600,-1.61,13218,7.38,171357,0.57,2250,2.31
75,삼양홀딩스우 ,66000,-400,-0.6,,,,,2300,3.48
80,하이트진로 ,33450,-450,-1.33,1246,26.85,15067,2.22,750,2.24
87,하이트진로2우B ,20000,0,0,,,,,800,4
100,유한양행 ,59100,-400,-0.67,2943,20.08,25880,2.28,400,0.68
105,유한양행우 ,58400,0,0,,,,,410,0.7
120,CJ대한통운 ,137500,-1000,-0.72,5683,24.19,146331,0.94,0,0
140,하이트진로홀딩스 ,14200,-100,-0.7,3014,4.71,20817,0.68,400,2.82
145,하이트진로홀딩스우 ,16450,-500,-2.95,,,,,450,2.74
150,두산 ,131500,-3500,-2.59,,,77507,1.7,2000,1.52
155,두산우 ,81200,-2000,-2.4,,,,,2050,2.52
157,두산2우B ,123500,-1000,-0.8,,,,,2000,1.62
180,성창기업지주 ,2475,-25,-1,78,31.73,7637,0.32,0,0
210,DL ,63600,-600,-0.93,13077,4.86,67178,0.95,1300,2.04
215,DL우 ,39100,-500,-1.26,,,,,1350,3.45
220,유유제약 ,6890,-40,-0.58,84,82.02,6360,1.08,210,3.05
225,유유제약1우 ,9190,-220,-2.34,,,,,220,2.39
227,유유제약2우B ,19700,-350,-1.75,,,,,0,0
230,일동홀딩스 ,13200,0,0,,,10633,1.24,100,0.76
240,한국앤컴퍼니 ,16850,-200,-1.17,1848,9.12,36437,0.46,500,2.97
250,삼천당제약 ,47500,-700,-1.45,,,8197,5.79,0,0
270,기아 ,83900,-1600,-1.87,3710,22.61,73740,1.14,1000,1.19
300,대유플러스 ,1510,50,3.42,,,825,1.83,0,0
320,노루홀딩스 ,12800,250,1.99,1343,9.53,27547,0.46,450,3.52
325,노루홀딩스우 ,43650,-1450,-3.22,,,,,455,1.04
370,한화손해보험 ,4105,-20,-0.48,315,13.03,14390,0.29,0,0
390,삼화페인트 ,10200,260,2.62,294,34.69,10862,0.94,150,1.47
400,롯데손해보험 ,1810,-30,-1.63,,,3050,0.59,0,0
430,대원강업 ,3960,-65,-1.61,,,7487,0.53,100,2.53
440,중앙에너비스 ,16750,-1350,-7.46,4144,4.04,9893,1.69,480,2.87
480,조선내화 ,87500,-100,-0.11,10421,8.4,154303,0.57,4200,4.8
490,대동 ,9800,-100,-1.01,985,9.95,13301,0.74,80,0.82
500,가온전선 ,25300,-1400,-5.24,2418,10.46,63351,0.4,600,2.37
520,삼일제약 ,7830,10,0.13,110,71.18,4746,1.65,75,0.96
540,흥국화재 ,3735,-60,-1.58,268,13.94,11107,0.34,0,0
545,흥국화재우 ,8300,-100,-1.19,,,,,0,0
547,흥국화재2우B ,25700,-350,-1.34,,,,,0,0
590,CS홀딩스 ,61200,200,0.33,6657,9.19,210057,0.29,500,0.82
640,동아쏘시오홀딩스 ,104500,-1000,-0.95,26725,3.91,144380,0.72,1000,0.96
650,천일고속 ,67600,0,0,,,26545,2.55,3000,4.44
660,SK하이닉스 ,107500,-1000,-0.92,6952,15.46,71275,1.51,1170,1.09
670,영풍 ,690000,10000,1.47,77108,8.95,1803019,0.38,10000,1.45
680,LS네트웍스 ,3160,-20,-0.63,,,6258,0.5,0,0
700,유수홀딩스 ,5600,-80,-1.41,3202,1.75,11744,0.48,500,8.93
720,현대건설 ,49000,-1000,-2,1067,45.92,57894,0.85,600,1.22
725,현대건설우 ,78200,1100,1.43,,,,,650,0.83
760,이화산업 ,16000,-150,-0.93,,,35475,0.45,0,0
810,삼성화재 ,221000,-2500,-1.12,17760,12.44,321574,0.69,8800,3.98
815,삼성화재우 ,171000,1000,0.59,,,,,8805,5.15
850,화천기공 ,34100,-400,-1.16,2053,16.61,134620,0.25,750,2.2
860,강남제비스코 ,23650,-350,-1.46,3583,6.6,84026,0.28,500,2.11
880,한화 ,31600,-150,-0.47,2831,11.16,46059,0.69,700,2.22
885,한화우 ,35500,-1400,-3.79,,,,,750,2.11
