종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
20,동화약품 ,13800,-100,-0.72,1033,13.36,11860,1.16,180,1.3
40,KR모터스 ,942,-14,-1.46,,,396,2.38,0,0
50,경방 ,13650,50,0.37,499,27.35,27063,0.5,125,0.92
60,메리츠화재 ,29650,300,1.02,3856,7.69,22175,1.34,1280,4.32
70,삼양홀딩스 ,100500,-500,-0.5,13218,7.6,171357,0.59,2250,2.24
75,삼양홀딩스우 ,69800,0,0,,,,,2300,3.3
80,하이트진로 ,32750,-500,-1.5,1246,26.28,15067,2.17,750,2.29
87,하이트진로2우B ,19950,-50,-0.25,,,,,800,4.01
100,유한양행 ,59600,-600,-1,2943,20.25,25880,2.3,400,0.67
105,유한양행우 ,58600,100,0.17,,,,,410,0.7
120,CJ대한통운 ,135000,-2500,-1.82,5683,23.76,146331,0.92,0,0
140,하이트진로홀딩스 ,13750,-50,-0.36,3014,4.56,20817,0.66,400,2.91
145,하이트진로홀딩스우 ,16400,400,2.5,,,,,450,2.74
150,두산 ,127500,1500,1.19,,,77507,1.65,2000,1.57
155,두산우 ,78800,1300,1.68,,,,,2050,2.6
157,두산2우B ,115500,-1000,-0.86,,,,,2000,1.73
180,성창기업지주 ,2460,15,0.61,78,31.54,7637,0.32,0,0
210,DL ,61400,-200,-0.32,13077,4.7,67178,0.91,1300,2.12
215,DL우 ,37800,50,0.13,,,,,1350,3.57
220,유유제약 ,6920,80,1.17,84,82.38,6360,1.09,210,3.03
225,유유제약1우 ,9200,30,0.33,,,,,220,2.39
227,유유제약2우B ,18300,-400,-2.14,,,,,0,0
230,일동홀딩스 ,14000,500,3.7,,,10633,1.32,100,0.71
240,한국앤컴퍼니 ,16050,-400,-2.43,1848,8.69,36437,0.44,500,3.12
250,삼천당제약 ,44600,-900,-1.98,,,8197,5.44,0,0
270,기아 ,83700,-2000,-2.33,3710,22.56,73740,1.14,1000,1.19
300,대유플러스 ,1530,-125,-7.55,,,825,1.85,0,0
320,노루홀딩스 ,12900,-50,-0.39,1343,9.61,27547,0.47,450,3.49
325,노루홀딩스우 ,40400,-1800,-4.27,,,,,455,1.13
370,한화손해보험 ,4065,10,0.25,315,12.9,14390,0.28,0,0
390,삼화페인트 ,9510,-80,-0.83,294,32.35,10862,0.88,150,1.58
400,롯데손해보험 ,1750,-20,-1.13,,,3050,0.57,0,0
430,대원강업 ,3995,-5,-0.13,,,7487,0.53,100,2.5
440,중앙에너비스 ,16200,-50,-0.31,4144,3.91,9893,1.64,480,2.96
480,조선내화 ,84400,700,0.84,10421,8.1,154303,0.55,4200,4.98
490,대동 ,9890,160,1.64,985,10.04,13301,0.74,80,0.81
500,가온전선 ,24550,-100,-0.41,2418,10.15,63351,0.39,600,2.44
520,삼일제약 ,7720,-20,-0.26,110,70.18,4746,1.63,75,0.97
540,흥국화재 ,3765,20,0.53,268,14.05,11107,0.34,0,0
545,흥국화재우 ,8140,-60,-0.73,,,,,0,0
547,흥국화재2우B ,26600,0,0,,,,,0,0
590,CS홀딩스 ,60900,300,0.5,6657,9.15,210057,0.29,500,0.82
640,동아쏘시오홀딩스 ,107000,1000,0.94,26725,4,144380,0.74,1000,0.93
650,천일고속 ,66300,100,0.15,,,26545,2.5,3000,4.52
660,SK하이닉스 ,119000,-500,-0.42,6952,17.12,71275,1.67,1170,0.98
670,영풍 ,650000,-15000,-2.26,77108,8.43,1803019,0.36,10000,1.54
680,LS네트웍스 ,3095,-35,-1.12,,,6258,0.49,0,0
700,유수홀딩스 ,6030,30,0.5,3202,1.88,11744,0.51,500,8.29
720,현대건설 ,47900,-150,-0.31,1067,44.89,57894,0.83,600,1.25
725,현대건설우 ,80000,-100,-0.12,,,,,650,0.81
760,이화산업 ,16000,-50,-0.31,,,35475,0.45,0,0
810,삼성화재 ,214000,-2500,-1.15,17760,12.05,321574,0.67,8800,4.11
815,삼성화재우 ,176500,2000,1.15,,,,,8805,4.99
850,화천기공 ,35250,50,0.14,2053,17.17,134620,0.26,750,2.13
860,강남제비스코 ,22600,-200,-0.88,3583,6.31,84026,0.27,500,2.21
880,한화 ,32600,-300,-0.91,2831,11.52,46059,0.71,700,2.15
885,한화우 ,35850,500,1.41,,,,,750,2.09
890,보해양조 ,909,-8,-0.87,14,64.93,617,1.47,0,0
910,유니온 ,7270,-70,-0.95,951,7.64,8009,0.91,125,1.72
950,전방 ,41200,-1300,-3.06,5181,7.95,83530,0.49,0,0
970,한국주철관 ,9160,80,0.88,513,17.86,12129,0.76,200,2.18
990,DB하이텍 ,77800,1200,1.57,3822,20.36,17851,4.36,350,0.45
995,DB하이텍1우 ,110000,-1500,-1.35,,,,,400,0.36
1000,신라섬유 ,2290,50,2.23,14,163.57,610,3.75,0,0
