종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
20,동화약품 ,15650,-50,-0.32,1033,15.15,11860,1.32,180,1.15
40,KR모터스 ,1010,5,0.5,,,396,2.55,0,0
50,경방 ,13850,550,4.14,499,27.76,27063,0.51,125,0.9
60,메리츠화재 ,29250,1400,5.03,3856,7.59,22175,1.32,1280,4.38
70,삼양홀딩스 ,104500,-1500,-1.42,13218,7.91,171357,0.61,2250,2.15
75,삼양홀딩스우 ,69400,400,0.58,,,,,2300,3.31
80,하이트진로 ,35050,-150,-0.43,1246,28.13,15067,2.33,750,2.14
87,하이트진로2우B ,21050,100,0.48,,,,,800,3.8
100,유한양행 ,61700,1700,2.83,2943,20.97,25880,2.38,400,0.65
105,유한양행우 ,59000,700,1.2,,,,,410,0.69
120,CJ대한통운 ,148500,2500,1.71,5683,26.13,146331,1.01,0,0
140,하이트진로홀딩스 ,15050,100,0.67,3014,4.99,20817,0.72,400,2.66
145,하이트진로홀딩스우 ,17550,-200,-1.13,,,,,450,2.56
150,두산 ,107000,4000,3.88,,,77507,1.38,2000,1.87
155,두산우 ,75200,1300,1.76,,,,,2050,2.73
157,두산2우B ,129500,4500,3.6,,,,,2000,1.54
180,성창기업지주 ,2560,20,0.79,78,32.82,7637,0.34,0,0
210,DL ,68000,800,1.19,13077,5.2,67178,1.01,1300,1.91
215,DL우 ,41250,550,1.35,,,,,1350,3.27
220,유유제약 ,7500,180,2.46,84,89.29,6360,1.18,210,2.8
225,유유제약1우 ,10100,160,1.61,,,,,220,2.18
227,유유제약2우B ,23550,-300,-1.26,,,,,0,0
230,일동홀딩스 ,13600,0,0,,,10633,1.28,100,0.74
240,한국앤컴퍼니 ,17350,750,4.52,1848,9.39,36437,0.48,500,2.88
250,삼천당제약 ,48950,-800,-1.61,,,8197,5.97,0,0
270,기아 ,86000,1700,2.02,3710,23.18,73740,1.17,1000,1.16
300,대유플러스 ,1395,15,1.09,,,825,1.69,0,0
320,노루홀딩스 ,12450,100,0.81,1343,9.27,27547,0.45,450,3.61
325,노루홀딩스우 ,49500,-4200,-7.82,,,,,455,0.92
370,한화손해보험 ,4530,75,1.68,315,14.38,14390,0.31,0,0
390,삼화페인트 ,10000,-200,-1.96,294,34.01,10862,0.92,150,1.5
400,롯데손해보험 ,1830,10,0.55,,,3050,0.6,0,0
430,대원강업 ,4210,5,0.12,,,7487,0.56,100,2.38
440,중앙에너비스 ,18700,200,1.08,4144,4.51,9893,1.89,480,2.57
480,조선내화 ,88200,200,0.23,10421,8.46,154303,0.57,4200,4.76
490,대동 ,10100,390,4.02,985,10.25,13301,0.76,80,0.79
500,가온전선 ,28300,100,0.35,2418,11.7,63351,0.45,600,2.12
520,삼일제약 ,8120,130,1.63,110,73.82,4746,1.71,75,0.92
540,흥국화재 ,3890,-5,-0.13,268,14.51,11107,0.35,0,0
545,흥국화재우 ,8690,150,1.76,,,,,0,0
547,흥국화재2우B ,28200,50,0.18,,,,,0,0
590,CS홀딩스 ,65000,400,0.62,6657,9.76,210057,0.31,500,0.77
640,동아쏘시오홀딩스 ,107500,500,0.47,26725,4.02,144380,0.74,1000,0.93
650,천일고속 ,68400,-100,-0.15,,,26545,2.58,3000,4.39
660,SK하이닉스 ,107500,1000,0.94,6952,15.46,71275,1.51,1170,1.09
670,영풍 ,698000,4000,0.58,77108,9.05,1803019,0.39,10000,1.43
680,LS네트웍스 ,3560,425,13.56,,,6258,0.57,0,0
700,유수홀딩스 ,6010,10,0.17,3202,1.88,11744,0.51,500,8.32
720,현대건설 ,51800,500,0.97,1067,48.55,57894,0.89,600,1.16
725,현대건설우 ,155000,0,0,,,,,650,0.42
760,이화산업 ,16750,300,1.82,,,35475,0.47,0,0
810,삼성화재 ,235000,0,0,17760,13.23,321574,0.73,8800,3.74
815,삼성화재우 ,178500,1000,0.56,,,,,8805,4.93
850,화천기공 ,36600,200,0.55,2053,17.83,134620,0.27,750,2.05
860,강남제비스코 ,24950,150,0.6,3583,6.96,84026,0.3,500,2
880,한화 ,32800,50,0.15,2831,11.59,46059,0.71,700,2.13
885,한화우 ,38400,-750,-1.92,,,,,750,1.95
890,보해양조 ,991,6,0.61,14,70.79,617,1.61,0,0
910,유니온 ,6990,-110,-1.55,951,7.35,8009,0.87,125,1.79
