종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
20,동화약품 ,14850,-250,-1.66,1033,14.38,11860,1.25,180,1.21
40,KR모터스 ,997,0,0,,,396,2.52,0,0
50,경방 ,13700,-100,-0.72,499,27.45,27063,0.51,125,0.91
60,메리츠화재 ,29550,100,0.34,3856,7.66,22175,1.33,1280,4.33
70,삼양홀딩스 ,105500,0,0,13218,7.98,171357,0.62,2250,2.13
75,삼양홀딩스우 ,67900,-1000,-1.45,,,,,2300,3.39
80,하이트진로 ,33450,-350,-1.04,1246,26.85,15067,2.22,750,2.24
87,하이트진로2우B ,20450,-150,-0.73,,,,,800,3.91
100,유한양행 ,60600,-500,-0.82,2943,20.59,25880,2.34,400,0.66
105,유한양행우 ,59000,100,0.17,,,,,410,0.69
120,CJ대한통운 ,144500,-500,-0.34,5683,25.43,146331,0.99,0,0
140,하이트진로홀딩스 ,14350,-300,-2.05,3014,4.76,20817,0.69,400,2.79
145,하이트진로홀딩스우 ,17400,-150,-0.85,,,,,450,2.59
150,두산 ,133500,8000,6.37,,,77507,1.72,2000,1.5
155,두산우 ,82900,2500,3.11,,,,,2050,2.47
157,두산2우B ,132500,-500,-0.38,,,,,2000,1.51
180,성창기업지주 ,2525,-15,-0.59,78,32.37,7637,0.33,0,0
210,DL ,63900,-1400,-2.14,13077,4.89,67178,0.95,1300,2.03
215,DL우 ,39900,-450,-1.12,,,,,1350,3.38
220,유유제약 ,7300,-20,-0.27,84,86.9,6360,1.15,210,2.88
225,유유제약1우 ,9960,-190,-1.87,,,,,220,2.21
227,유유제약2우B ,22200,-950,-4.1,,,,,0,0
230,일동홀딩스 ,13400,-50,-0.37,,,10633,1.26,100,0.75
240,한국앤컴퍼니 ,17300,-450,-2.54,1848,9.36,36437,0.47,500,2.89
250,삼천당제약 ,50400,-200,-0.4,,,8197,6.15,0,0
270,기아 ,88000,1000,1.15,3710,23.72,73740,1.19,1000,1.14
300,대유플러스 ,1455,-55,-3.64,,,825,1.76,0,0
320,노루홀딩스 ,12400,100,0.81,1343,9.23,27547,0.45,450,3.63
325,노루홀딩스우 ,48000,600,1.27,,,,,455,0.95
370,한화손해보험 ,4295,-160,-3.59,315,13.63,14390,0.3,0,0
390,삼화페인트 ,9630,-260,-2.63,294,32.76,10862,0.89,150,1.56
400,롯데손해보험 ,1845,-35,-1.86,,,3050,0.6,0,0
430,대원강업 ,4070,15,0.37,,,7487,0.54,100,2.46
440,중앙에너비스 ,17800,-700,-3.78,4144,4.3,9893,1.8,480,2.7
480,조선내화 ,88000,0,0,10421,8.44,154303,0.57,4200,4.77
490,대동 ,9890,-260,-2.56,985,10.04,13301,0.74,80,0.81
500,가온전선 ,27250,-650,-2.33,2418,11.27,63351,0.43,600,2.2
520,삼일제약 ,8000,-90,-1.11,110,72.73,4746,1.69,75,0.94
540,흥국화재 ,3955,135,3.53,268,14.76,11107,0.36,0,0
545,흥국화재우 ,8570,-130,-1.49,,,,,0,0
547,흥국화재2우B ,27800,-300,-1.07,,,,,0,0
590,CS홀딩스 ,64300,-500,-0.77,6657,9.66,210057,0.31,500,0.78
640,동아쏘시오홀딩스 ,108000,500,0.47,26725,4.04,144380,0.75,1000,0.93
650,천일고속 ,68800,-200,-0.29,,,26545,2.59,3000,4.36
660,SK하이닉스 ,107000,1000,0.94,6952,15.39,71275,1.5,1170,1.09
670,영풍 ,684000,-3000,-0.44,77108,8.87,1803019,0.38,10000,1.46
680,LS네트웍스 ,3260,-140,-4.12,,,6258,0.52,0,0
700,유수홀딩스 ,5850,-30,-0.51,3202,1.83,11744,0.5,500,8.55
720,현대건설 ,50600,-1000,-1.94,1067,47.42,57894,0.87,600,1.19
725,현대건설우 ,86100,-10400,-10.78,,,,,650,0.75
760,이화산업 ,16550,-150,-0.9,,,35475,0.47,0,0
810,삼성화재 ,225000,-4000,-1.75,17760,12.67,321574,0.7,8800,3.91
815,삼성화재우 ,174000,0,0,,,,,8805,5.06
850,화천기공 ,35150,-650,-1.82,2053,17.12,134620,0.26,750,2.13
860,강남제비스코 ,24250,-150,-0.61,3583,6.77,84026,0.29,500,2.06
880,한화 ,32450,150,0.46,2831,11.46,46059,0.7,700,2.16
885,한화우 ,38300,500,1.32,,,,,750,1.96
890,보해양조 ,956,-14,-1.44,14,68.29,617,1.55,0,0
910,유니온 ,8690,-530,-5.75,951,9.14,8009,1.09,125,1.44
950,전방 ,40250,0,0,5181,7.77,83530,0.48,0,0
970,한국주철관 ,9590,-270,-2.74,513,18.69,12129,0.79,200,2.09
990,DB하이텍 ,59100,300,0.51,3822,15.46,17851,3.31,350,0.59
995,DB하이텍1우 ,99000,-500,-0.5,,,,,400,0.4
1000,신라섬유 ,2410,-20,-0.82,14,172.14,610,3.95,0,0
1020,페이퍼코리아 ,1705,0,0,7,243.57,748,2.28,0,0
1040,CJ ,97300,-500,-0.51,2581,37.7,130202,0.75,2000,2.06
1045,CJ우 ,60500,-700,-1.14,,,,,2050,3.39
1060,JW중외제약 ,22800,-500,-2.15,,,9069,2.51,325,1.43
1065,JW중외제약우 ,33950,1300,3.98,,,,,350,1.03
1067,JW중외제약2우B ,58000,1000,1.75,,,,,325,0.56
1070,대한방직 ,46300,300,0.65,746,62.06,25717,1.8,0,0
1080,만호제강 ,21450,350,1.66,420,51.07,55976,0.38,200,0.93
1120,LX인터내셔널 ,26400,100,0.38,7932,3.33,34525,0.76,400,1.52
1130,대한제분 ,161500,-2000,-1.22,12494,12.93,461663,0.35,2000,1.24
1140,국보 ,2120,-25,-1.17,,,609,3.48,0,0
