종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
20,동화약품 ,14550,650,4.68,1033,14.09,11860,1.23,180,1.24
40,KR모터스 ,985,4,0.41,,,396,2.49,0,0
50,경방 ,13800,0,0,499,27.66,27063,0.51,125,0.91
60,메리츠화재 ,29200,0,0,3856,7.57,22175,1.32,1280,4.38
70,삼양홀딩스 ,101500,1000,1,13218,7.68,171357,0.59,2250,2.22
75,삼양홀딩스우 ,68800,1000,1.47,,,,,2300,3.34
80,하이트진로 ,34350,400,1.18,1246,27.57,15067,2.28,750,2.18
87,하이트진로2우B ,20250,50,0.25,,,,,800,3.95
100,유한양행 ,60200,1100,1.86,2943,20.46,25880,2.33,400,0.66
105,유한양행우 ,58700,300,0.51,,,,,410,0.7
120,CJ대한통운 ,140000,1000,0.72,5683,24.63,146331,0.96,0,0
140,하이트진로홀딩스 ,14250,-50,-0.35,3014,4.73,20817,0.68,400,2.81
145,하이트진로홀딩스우 ,16550,200,1.22,,,,,450,2.72
150,두산 ,137500,-1000,-0.72,,,77507,1.77,2000,1.45
155,두산우 ,84700,-100,-0.12,,,,,2050,2.42
157,두산2우B ,126500,-1000,-0.78,,,,,2000,1.58
180,성창기업지주 ,2525,10,0.4,78,32.37,7637,0.33,0,0
210,DL ,64800,500,0.78,13077,4.96,67178,0.96,1300,2.01
215,DL우 ,39350,200,0.51,,,,,1350,3.43
220,유유제약 ,7150,140,2,84,85.12,6360,1.12,210,2.94
225,유유제약1우 ,9560,200,2.14,,,,,220,2.3
227,유유제약2우B ,20050,-650,-3.14,,,,,0,0
230,일동홀딩스 ,14000,450,3.32,,,10633,1.32,100,0.71
240,한국앤컴퍼니 ,17350,250,1.46,1848,9.39,36437,0.48,500,2.88
250,삼천당제약 ,47700,250,0.53,,,8197,5.82,0,0
270,기아 ,86500,-300,-0.35,3710,23.32,73740,1.17,1000,1.16
300,대유플러스 ,1525,20,1.33,,,825,1.85,0,0
320,노루홀딩스 ,12900,-150,-1.15,1343,9.61,27547,0.47,450,3.49
325,노루홀딩스우 ,43650,-350,-0.8,,,,,455,1.04
370,한화손해보험 ,4175,25,0.6,315,13.25,14390,0.29,0,0
390,삼화페인트 ,10100,-150,-1.46,294,34.35,10862,0.93,150,1.49
400,롯데손해보험 ,1825,20,1.11,,,3050,0.6,0,0
430,대원강업 ,4090,-50,-1.21,,,7487,0.55,100,2.44
440,중앙에너비스 ,16700,-50,-0.3,4144,4.03,9893,1.69,480,2.87
480,조선내화 ,88400,500,0.57,10421,8.48,154303,0.57,4200,4.75
490,대동 ,10200,260,2.62,985,10.36,13301,0.77,80,0.78
500,가온전선 ,26100,700,2.76,2418,10.79,63351,0.41,600,2.3
520,삼일제약 ,7920,90,1.15,110,72,4746,1.67,75,0.95
540,흥국화재 ,3875,130,3.47,268,14.46,11107,0.35,0,0
545,흥국화재우 ,8460,60,0.71,,,,,0,0
547,흥국화재2우B ,27300,300,1.11,,,,,0,0
590,CS홀딩스 ,63000,1300,2.11,6657,9.46,210057,0.3,500,0.79
640,동아쏘시오홀딩스 ,105500,1000,0.96,26725,3.95,144380,0.73,1000,0.95
650,천일고속 ,67000,-100,-0.15,,,26545,2.52,3000,4.48
660,SK하이닉스 ,111000,4500,4.23,6952,15.97,71275,1.56,1170,1.05
670,영풍 ,698000,-2000,-0.29,77108,9.05,1803019,0.39,10000,1.43
680,LS네트웍스 ,3285,75,2.34,,,6258,0.52,0,0
700,유수홀딩스 ,5740,130,2.32,3202,1.79,11744,0.49,500,8.71
720,현대건설 ,50800,600,1.2,1067,47.61,57894,0.88,600,1.18
725,현대건설우 ,82900,1700,2.09,,,,,650,0.78
760,이화산업 ,15950,50,0.31,,,35475,0.45,0,0
810,삼성화재 ,229500,4000,1.77,17760,12.92,321574,0.71,8800,3.83
815,삼성화재우 ,176000,2000,1.15,,,,,8805,5
850,화천기공 ,35200,400,1.15,2053,17.15,134620,0.26,750,2.13
860,강남제비스코 ,24250,50,0.21,3583,6.77,84026,0.29,500,2.06
880,한화 ,32300,350,1.1,2831,11.41,46059,0.7,700,2.17
885,한화우 ,35500,0,0,,,,,750,2.11
890,보해양조 ,945,15,1.61,14,67.5,617,1.53,0,0
910,유니온 ,7970,310,4.05,951,8.38,8009,1,125,1.57
950,전방 ,40450,150,0.37,5181,7.81,83530,0.48,0,0
970,한국주철관 ,9630,70,0.73,513,18.77,12129,0.79,200,2.08
990,DB하이텍 ,64800,4300,7.11,3822,16.95,17851,3.63,350,0.54
995,DB하이텍1우 ,101500,4200,4.32,,,,,400,0.39
1000,신라섬유 ,2365,95,4.19,14,168.93,610,3.88,0,0
1020,페이퍼코리아 ,1560,10,0.65,7,222.86,748,2.09,0,0
1040,CJ ,94900,800,0.85,2581,36.77,130202,0.73,2000,2.11
1045,CJ우 ,59900,400,0.67,,,,,2050,3.42
1060,JW중외제약 ,23950,450,1.91,,,9069,2.64,325,1.36
1065,JW중외제약우 ,33950,250,0.74,,,,,350,1.03
1067,JW중외제약2우B ,59600,-100,-0.17,,,,,325,0.55
1070,대한방직 ,46650,-50,-0.11,746,62.53,25717,1.81,0,0
1080,만호제강 ,21750,750,3.57,420,51.79,55976,0.39,200,0.92
1120,LX인터내셔널 ,27050,150,0.56,7932,3.41,34525,0.78,400,1.48
1130,대한제분 ,159500,3000,1.92,12494,12.77,461663,0.35,2000,1.25
1140,국보 ,1905,0,0,,,609,3.13,0,0
1200,유진투자증권 ,3765,30,0.8,797,4.72,8932,0.42,120,3.19
1210,금호전기 ,3200,-150,-4.48,,,1369,2.34,0,0
1230,동국제강 ,17150,50,0.29,700,24.5,21305,0.8,200,1.17
1250,GS글로벌 ,2525,55,2.23,,,3465,0.73,0,0
1260,남광토건 ,14600,250,1.74,1401,10.42,6746,2.16,0,0
1270,부국증권 ,24350,-50,-0.2,6784,3.59,41949,0.58,1200,4.93
1275,부국증권우 ,23050,100,0.44,,,,,1250,5.42
1290,상상인증권 ,1215,0,0,27,45,1799,0.68,0,0
1340,백광산업 ,5600,80,1.45,232,24.14,3946,1.42,50,0.89
1360,삼성제약 ,5240,110,2.14,,,1981,2.65,0,0
1380,SG글로벌 ,1990,5,0.25,,,2812,0.71,0,0
1390,KG케미칼 ,33650,-300,-0.88,3358,10.02,29370,1.15,400,1.19
1420,태원물산 ,5530,310,5.94,,,4160,1.33,50,0.9
1430,세아베스틸 ,21400,250,1.18,,,45201,0.47,200,0.93
1440,대한전선 ,1995,175,9.62,3,665,402,4.96,0,0
1450,현대해상 ,25500,0,0,3955,6.45,53743,0.47,1000,3.92
1460,BYC ,438500,6500,1.5,21904,20.02,538911,0.81,1100,0.25
1465,BYC우 ,172500,-3500,-1.99,,,,,1150,0.67
1470,삼부토건 ,1895,40,2.16,,,1397,1.36,0,0
1500,현대차증권 ,12950,300,2.37,2739,4.73,27500,0.47,675,5.21
1510,SK증권 ,989,7,0.71,25,39.56,1207,0.82,10,1.01
1515,SK증권우 ,4060,15,0.37,,,,,15,0.37
1520,동양 ,1790,-55,-2.98,,,3285,0.54,40,2.23
1525,동양우 ,7700,-130,-1.66,,,,,90,1.17
1527,동양2우B ,14550,50,0.34,,,,,150,1.03
1529,동양3우B ,36200,-300,-0.82,,,,,150,0.41
1530,DI동일 ,313000,7000,2.29,10653,29.38,198359,1.58,1500,0.48
1540,안국약품 ,9880,70,0.71,,,11048,0.89,220,2.23
1550,조비 ,24100,150,0.63,579,41.62,9861,2.44,0,0
1560,제일연마 ,8910,60,0.68,435,20.48,8589,1.04,220,2.47
1570,금양 ,5000,-40,-0.79,,,1797,2.78,0,0
1620,케이비아이동국실업 ,944,51,5.71,,,2511,0.38,0,0
1630,종근당홀딩스 ,81300,1500,1.88,15711,5.17,107821,0.75,1400,1.72
1680,대상 ,24250,400,1.68,3473,6.98,30083,0.81,700,2.89
1685,대상우 ,17700,100,0.57,,,,,710,4.01
1720,신영증권 ,60200,-100,-0.17,22418,2.69,81242,0.74,4000,6.64
1725,신영증권우 ,61300,-200,-0.33,,,,,4050,6.61
1740,SK네트웍스 ,5160,0,0,153,33.73,8289,0.62,120,2.33
1745,SK네트웍스우 ,84000,600,0.72,,,,,145,0.17
1750,한양증권 ,15950,-400,-2.45,3583,4.45,26489,0.6,750,4.7
1755,한양증권우 ,20500,50,0.24,,,,,800,3.9
1770,SHD ,29400,1100,3.89,403,72.95,28484,1.03,100,0.34
1780,알루코 ,3825,-80,-2.05,,,2427,1.58,0,0
1790,대한제당 ,3290,-75,-2.23,263,12.51,4974,0.66,180,5.47
1795,대한제당우 ,3420,-20,-0.58,,,,,185,5.41
1800,오리온홀딩스 ,16250,250,1.56,1289,12.61,31390,0.52,650,4
1810,무림SP ,3165,115,3.77,79,40.06,9248,0.34,25,0.79
1820,삼화콘덴서 ,57700,1500,2.67,2272,25.4,16709,3.45,300,0.52
1840,이화공영 ,6390,50,0.79,15,426,2156,2.96,10,0.16
1880,DL건설 ,28400,350,1.25,7953,3.57,34403,0.83,550,1.94
1940,KISCO홀딩스 ,17000,-100,-0.58,2260,7.52,45645,0.37,300,1.76
2020,코오롱 ,32750,500,1.55,10889,3.01,52610,0.62,500,1.53
2025,코오롱우 ,20050,-50,-0.25,,,,,550,2.74
2030,아세아 ,118500,3500,3.04,22188,5.34,369251,0.32,2000,1.69
2070,비비안 ,2990,40,1.36,,,3376,0.89,0,0
2100,경농 ,12450,0,0,706,17.63,8886,1.4,250,2.01
2140,고려산업 ,3185,40,1.27,278,11.46,4108,0.78,35,1.1
2150,도화엔지니어링 ,7760,140,1.84,535,14.5,7617,1.02,280,3.61
2170,삼양통상 ,62400,0,0,17515,3.56,125195,0.5,1250,2
2200,한국수출포장 ,25650,500,1.99,2090,12.27,63143,0.41,600,2.34
2210,동성제약 ,8620,110,1.29,,,2105,4.1,0,0
2220,한일철강 ,2925,-40,-1.35,,,5895,0.5,0,0
2230,피에스텍 ,4815,5,0.1,25,192.6,6922,0.7,75,1.56
2240,고려제강 ,24200,-100,-0.41,366,66.12,59061,0.41,300,1.24
2270,롯데푸드 ,371000,-500,-0.13,77191,4.81,672512,0.55,12000,3.23
2290,삼일기업공사 ,4180,105,2.58,195,21.44,4838,0.86,100,2.39
2310,아세아제지 ,46650,2700,6.14,6057,7.7,70731,0.66,700,1.5
2320,한진 ,32300,150,0.47,575,56.17,73015,0.44,600,1.86
2350,넥센타이어 ,7420,0,0,,,14814,0.5,105,1.42
2355,넥센타이어1우B ,3340,-30,-0.89,,,,,110,3.29
2360,SH에너지화학 ,1005,17,1.72,,,808,1.24,0,0
2380,KCC ,326000,6500,2.03,72945,4.47,548119,0.59,5700,1.75
2390,한독 ,23250,250,1.09,1958,11.87,27703,0.84,300,1.29
2410,범양건영 ,7770,-190,-2.39,442,17.58,3269,2.38,0,0
2420,세기상사 ,6160,0,0,,,5066,1.22,0,0
2450,삼익악기 ,1810,40,2.26,120,15.08,2464,0.73,50,2.76
2460,화성산업 ,12750,150,1.19,2742,4.65,31644,0.4,650,5.1
2600,조흥 ,201000,-1000,-0.5,12528,16.04,222051,0.91,6000,2.99
2620,제일파마홀딩스 ,17100,200,1.18,745,22.95,25508,0.67,70,0.41
2630,오리엔트바이오 ,1360,-10,-0.73,,,418,3.25,0,0
2680,한탑 ,1395,15,1.09,,,2172,0.64,0,0
2690,동일제강 ,3260,120,3.82,18,181.11,7926,0.41,0,0
2700,신일전자 ,1980,0,0,115,17.22,1059,1.87,20,1.01
2710,TCC스틸 ,8000,-200,-2.44,,,4991,1.6,15,0.19
2720,국제약품 ,5790,130,2.3,120,48.25,3659,1.58,0,0
2760,보락 ,2060,30,1.48,7,294.29,735,2.8,4,0.19
2780,진흥기업 ,2310,-25,-1.07,140,16.5,811,2.85,0,0
2785,진흥기업우B ,6120,0,0,,,,,0,0
2787,진흥기업2우B ,15400,0,0,,,,,0,0
2790,아모레G ,48650,400,0.83,74,657.43,33851,1.44,230,0.47
2795,아모레G우 ,17700,200,1.14,,,,,235,1.33
2800,신신제약 ,6910,-40,-0.58,24,287.92,3704,1.87,0,0
2810,삼영무역 ,15600,0,0,1600,9.75,20537,0.76,500,3.21
2820,SUN&L ,5350,-200,-3.6,,,16384,0.33,0,0
2840,미원상사 ,208000,3000,1.46,10369,20.06,53838,3.86,700,0.34
2870,신풍제지 ,2495,-45,-1.77,1189,2.1,2884,0.87,50,2
2880,대유에이텍 ,1545,40,2.66,,,1045,1.48,0,0
2900,TYM ,1850,20,1.09,29,63.79,934,1.98,0,0
2920,유성기업 ,3300,10,0.3,,,10196,0.32,120,3.64
2960,한국쉘석유 ,280000,3000,1.08,16162,17.32,75474,3.71,14000,5
2990,금호건설 ,11200,-100,-0.88,741,15.11,10569,1.06,500,4.46
2995,금호건설우 ,30550,350,1.16,,,,,550,1.8
3000,부광약품 ,13300,250,1.92,,,3643,3.65,100,0.75
3010,혜인 ,6360,150,2.42,484,13.14,8434,0.75,120,1.89
3030,세아제강지주 ,118500,-13000,-9.89,4227,28.03,235619,0.5,1500,1.27
3060,에이프로젠제약 ,999,3,0.3,35,28.54,1268,0.79,0,0
3070,코오롱글로벌 ,25850,700,2.78,3249,7.96,18560,1.39,400,1.55
3075,코오롱글로벌우 ,32800,200,0.61,,,,,450,1.37
3080,성보화학 ,4275,-5,-0.12,,,6827,0.63,135,3.16
3090,대웅 ,32750,750,2.34,2343,13.98,11787,2.78,100,0.31
3100,선광 ,55400,-100,-0.18,1152,48.09,45992,1.2,350,0.63
3120,일성신약 ,75200,300,0.4,2100,35.81,130630,0.58,750,1
3160,디아이 ,8250,520,6.73,203,40.64,4122,2,100,1.21
3200,일신방직 ,114000,2000,1.79,4428,25.75,295756,0.39,1500,1.32
3220,대원제약 ,16050,50,0.31,853,18.82,10084,1.59,160,1
3230,삼양식품 ,80600,1200,1.51,8922,9.03,45470,1.77,800,0.99
3240,태광산업 ,979000,-10000,-1.01,125727,7.79,2969365,0.33,1550,0.16
3280,흥아해운 ,3040,-5,-0.16,,,,,0,0
3300,한일홀딩스 ,13200,-50,-0.38,1677,7.87,46221,0.29,510,3.86
3310,대주산업 ,2285,-10,-0.44,98,23.32,1530,1.49,35,1.53
3350,한국화장품제조 ,29200,-150,-0.51,,,9768,2.99,0,0
3380,하림지주 ,9480,290,3.16,725,13.08,18343,0.52,50,0.53
3410,쌍용C&E ,7890,0,0,275,28.69,3353,2.35,440,5.58
3460,유화증권 ,2800,10,0.36,83,33.73,6358,0.44,110,3.93
3465,유화증권우 ,2810,30,1.08,,,,,120,4.27
3470,유안타증권 ,4470,40,0.9,500,8.94,6527,0.68,125,2.8
3475,유안타증권우 ,4560,65,1.45,,,,,175,3.84
3480,한진중공업홀딩스 ,4320,45,1.05,,,11160,0.39,0,0
3490,대한항공 ,30400,-150,-0.49,,,14181,2.14,0,0
3495,대한항공우 ,40200,1300,3.34,,,,,0,0
3520,영진약품 ,4675,50,1.08,,,626,7.47,0,0
3530,한화투자증권 ,5660,170,3.1,307,18.44,5707,0.99,0,0
3535,한화투자증권우 ,13400,200,1.52,,,,,0,0
3540,대신증권 ,20400,200,0.99,2119,9.63,23605,0.86,1200,5.88
3545,대신증권우 ,18700,100,0.54,,,,,1250,6.68
3547,대신증권2우B ,18050,100,0.56,,,,,1200,6.65
3550,LG ,90300,300,0.33,8338,10.83,115188,0.78,2500,2.77
3555,LG우 ,65800,0,0,,,,,2550,3.88
3560,IHQ ,1705,-20,-1.16,,,808,2.11,0,0
3570,SNT중공업 ,9110,-10,-0.11,329,27.69,17967,0.51,300,3.29
3580,넥스트사이언스 ,17250,1250,7.81,,,2013,8.57,0,0
3610,방림 ,2890,-55,-1.87,128,22.58,4519,0.64,35,1.21
3620,쌍용차 ,2770,0,0,,,,,0,0
3650,미창석유 ,82100,1000,1.23,12962,6.33,159298,0.52,2100,2.56
3670,포스코케미칼 ,145500,3000,2.11,455,319.78,15401,9.45,300,0.21
3680,한성기업 ,6370,140,2.25,400,15.93,8130,0.78,0,0
3690,코리안리 ,9750,70,0.72,1252,7.79,20403,0.48,450,4.62
3720,삼영화학 ,3030,0,0,6,505,1297,2.34,0,0
3780,진양산업 ,8790,530,6.42,395,22.25,3341,2.63,180,2.05
3800,에이스침대 ,44000,-2050,-4.45,4811,9.15,45711,0.96,1100,2.5
3830,대한화섬 ,143000,3000,2.14,14424,9.91,457234,0.31,410,0.29
3850,보령제약 ,14500,300,2.11,455,31.87,5367,2.7,100,0.69
3920,남양유업 ,435000,-2000,-0.46,,,970716,0.45,1000,0.23
3925,남양유업우 ,226000,4000,1.8,,,,,1050,0.46
3960,사조대림 ,30050,1700,6,4602,6.53,39002,0.77,200,0.67
4000,롯데정밀화학 ,80900,0,0,7805,10.37,63942,1.27,1500,1.85
4020,현대제철 ,41700,100,0.24,,,122488,0.34,500,1.2
4060,SG세계물산 ,666,-6,-0.89,,,969,0.69,0,0
4080,신흥 ,16100,0,0,1302,12.37,9573,1.68,200,1.24
4090,한국석유 ,12100,50,0.41,546,22.16,11418,1.06,83,0.69
4100,태양금속 ,1525,30,2.01,,,2467,0.62,5,0.33
4105,태양금속우 ,2700,30,1.12,,,,,10,0.37
4140,동방 ,4225,10,0.24,363,11.64,2763,1.53,0,0
4150,한솔홀딩스 ,3710,80,2.2,1695,2.19,11972,0.31,120,3.23
4170,신세계 ,242000,-1000,-0.41,,,349650,0.69,1500,0.62
4250,NPC ,6530,150,2.35,449,14.54,7011,0.93,100,1.53
4255,NPC우 ,3135,5,0.16,,,,,105,3.35
4270,남성 ,3155,15,0.48,,,2095,1.51,35,1.11
4310,현대약품 ,5610,90,1.63,80,70.13,2817,1.99,43,0.77
4360,세방 ,12350,500,4.22,1436,8.6,36981,0.33,190,1.54
4365,세방우 ,7200,100,1.41,,,,,195,2.71
4370,농심 ,283500,3000,1.07,25682,11.04,334382,0.85,4000,1.41
4380,삼익THK ,11750,200,1.73,215,54.65,9046,1.3,150,1.28
4410,서울식품 ,319,9,2.9,,,78,4.09,0,0
4415,서울식품우 ,4190,15,0.36,,,,,0,0
4430,송원산업 ,17700,200,1.14,1144,15.47,19113,0.93,120,0.68
4440,삼일씨엔에스 ,9990,130,1.32,,,21785,0.46,0,0
4450,삼화왕관 ,42950,450,1.06,819,52.44,66914,0.64,1250,2.91
4490,세방전지 ,81400,1800,2.26,4916,16.56,79003,1.03,500,0.61
4540,깨끗한나라 ,4795,65,1.37,1023,4.69,5765,0.83,100,2.09
4545,깨끗한나라우 ,22500,650,2.97,,,,,110,0.49
4560,현대비앤지스틸 ,16200,50,0.31,1553,10.43,28211,0.57,100,0.62
4565,현대비앤지스틸우 ,81700,5700,7.5,,,,,150,0.18
4590,한국가구 ,7660,-50,-0.65,617,12.41,7783,0.98,135,1.76
4650,창해에탄올 ,14100,100,0.71,1705,8.27,14242,0.99,600,4.26
4690,삼천리 ,91200,1100,1.22,9248,9.86,317378,0.29,3000,3.29
4700,조광피혁 ,57900,900,1.58,5532,10.47,47356,1.22,300,0.52
4710,한솔테크닉스 ,6520,170,2.68,834,7.82,8683,0.75,0,0
4720,팜젠사이언스 ,11000,250,2.33,675,16.3,5677,1.94,0,0
4770,써니전자 ,3470,-25,-0.72,170,20.41,1832,1.89,0,0
4780,대륙제관 ,5590,30,0.54,757,7.38,7316,0.76,150,2.68
4800,효성 ,99100,100,0.1,,,105988,0.94,5000,5.05
4830,덕성 ,18150,300,1.68,232,78.23,3880,4.68,45,0.25
4835,덕성우 ,21050,250,1.2,,,,,50,0.24
4840,DRB동일 ,5420,10,0.18,121,44.79,17702,0.31,50,0.92
4870,티웨이홀딩스 ,1120,-10,-0.88,,,923,1.21,0,0
4890,동일산업 ,147000,2000,1.38,3700,39.73,148639,0.99,1800,1.22
4910,조광페인트 ,8800,60,0.69,436,20.18,15814,0.56,200,2.27
4920,씨아이테크 ,995,4,0.4,,,1283,0.78,0,0
4960,한신공영 ,18850,-250,-1.31,9155,2.06,52869,0.36,400,2.12
4970,신라교역 ,13000,200,1.56,479,27.14,32370,0.4,500,3.85
4980,성신양회 ,12150,-200,-1.62,416,29.21,16113,0.75,150,1.23
4985,성신양회우 ,15400,-50,-0.32,,,,,200,1.3
4990,롯데지주 ,33050,0,0,,,60599,0.55,1000,3.03
5010,휴스틸 ,15200,800,5.56,1134,13.4,54380,0.28,200,1.32
5030,부산주공 ,583,4,0.69,,,469,1.24,0,0
5070,코스모신소재 ,43800,200,0.46,401,109.23,6045,7.25,0,0
5090,SGC에너지 ,47000,-50,-0.11,1792,26.23,38628,1.22,1500,3.19
5110,한창 ,1085,40,3.83,,,544,1.99,0,0
5160,동국산업 ,3825,-5,-0.13,127,30.12,7079,0.54,130,3.4
5180,빙그레 ,55600,200,0.36,3944,14.1,59843,0.93,1600,2.88
5250,녹십자홀딩스 ,28250,200,0.71,3793,7.45,18556,1.52,500,1.77
5257,녹십자홀딩스2우 ,63700,0,0,,,,,500,0.78
5290,동진쎄미켐 ,37850,3150,9.08,1658,22.83,8437,4.49,100,0.26
5300,롯데칠성 ,138500,4500,3.36,,,132776,1.04,2700,1.95
5305,롯데칠성우 ,70400,200,0.28,,,,,2705,3.84
5320,국동 ,2670,0,0,458,5.83,2309,1.16,50,1.87
5360,모나미 ,4465,70,1.59,4,1116.25,4630,0.96,70,1.57
5380,현대차 ,209000,1000,0.48,5454,38.32,250888,0.83,3000,1.44
5385,현대차우 ,98600,300,0.31,,,,,3050,3.09
5387,현대차2우B ,101500,1000,1,,,,,3100,3.05
5389,현대차3우B ,93800,200,0.21,,,,,3050,3.25
5390,신성통상 ,3785,25,0.66,51,74.22,1652,2.29,0,0
5420,코스모화학 ,16750,700,4.36,,,4716,3.55,0,0
5430,한국공항 ,45600,1450,3.28,,,86072,0.53,0,0
5440,현대그린푸드 ,9320,90,0.98,815,11.44,18231,0.51,210,2.25
5490,POSCO ,285000,0,0,20165,14.13,508464,0.56,8000,2.81
5500,삼진제약 ,25650,50,0.2,2266,11.32,15357,1.67,800,3.12
5610,SPC삼립 ,74600,1500,2.05,,,35114,2.12,1104,1.48
5670,푸드웰 ,6950,60,0.87,423,16.43,8013,0.87,85,1.22
5680,삼영전자 ,11350,50,0.44,571,19.88,24545,0.46,250,2.2
5690,파미셀 ,12800,50,0.39,87,147.13,952,13.45,0,0
5710,대원산업 ,6720,50,0.75,902,7.45,16584,0.41,125,1.86
5720,넥센 ,4965,55,1.12,194,25.59,18401,0.27,85,1.71
5725,넥센우 ,3530,-5,-0.14,,,,,90,2.55
5740,크라운해태홀딩스 ,8630,10,0.12,1527,5.65,18262,0.47,100,1.16
5745,크라운해태홀딩스우 ,13450,-200,-1.47,,,,,105,0.78
5750,대림B&Co ,8170,-60,-0.73,,,9517,0.86,130,1.59
5800,신영와코루 ,117500,0,0,3245,36.21,352404,0.33,1500,1.28
5810,풍산홀딩스 ,29500,1050,3.69,1454,20.29,63127,0.47,1200,4.07
5820,원림 ,19950,450,2.31,7819,2.55,45998,0.43,500,2.51
5830,DB손해보험 ,58400,900,1.57,9171,6.37,90596,0.64,2200,3.77
5850,에스엘 ,32600,800,2.52,1420,22.96,29241,1.11,500,1.53
5860,한일사료 ,2055,40,1.99,55,37.36,1590,1.29,25,1.22
5870,휴니드 ,7100,100,1.43,432,16.44,8452,0.84,0,0
5880,대한해운 ,2720,0,0,34,80,2946,0.92,0,0
5930,삼성전자 ,71400,800,1.13,3841,18.59,39406,1.81,2994,4.19
5935,삼성전자우 ,66200,700,1.07,,,,,2995,4.52
5940,NH투자증권 ,13200,150,1.15,1923,6.86,19308,0.68,700,5.3
5945,NH투자증권우 ,12400,100,0.81,,,,,750,6.05
5950,이수화학 ,14050,500,3.69,,,10682,1.32,300,2.14
5960,동부건설 ,14550,0,0,1974,7.37,20042,0.73,900,6.19
5965,동부건설우 ,33700,-400,-1.17,,,,,950,2.82
5990,매일홀딩스 ,9870,70,0.71,154,64.09,20924,0.47,140,1.42
6040,동원산업 ,232000,1000,0.43,70124,3.31,340108,0.68,5000,2.16
