종목코드,업종명,종가,등락,등락률,EPS,PER,BPS,PBR,주당 배당금,업종분야
20,동화약품 ,13900,100,0.72,1033,13.46,11860,1.17,"180
",의약품 제조업
2700,신일전자 ,2000,20,1.01,115,17.39,1059,1.89,"20
",기계장비 및 관련 물품 도매업
6740,영풍제지 ,7230,150,2.12,483,14.97,5692,1.27,"40
","골판지, 종이 상자 및 종이용기 제조업"
9180,한솔로지스틱스 ,4335,105,2.48,316,13.72,1989,2.18,"50
",기타 운송관련 서비스업
10050,우리종금 ,995,-20,-1.97,89,11.18,605,1.64,"10
",기타 금융업
24090,디씨엠 ,27100,-400,-1.45,2166,12.51,16153,1.68,"500
",1차 철강 제조업
25530,SJM홀딩스 ,3600,0,0,221,16.29,9852,0.37,"100
",자동차 부품 및 내장품 판매업
33290,코웰패션 ,8050,-20,-0.25,697,11.55,3233,2.49,"120
","섬유, 의복, 신발 및 가죽제품 소매업"
39830,오로라 ,9760,-210,-2.11,781,12.5,10226,0.95,"100
",전문디자인업
42500,링네트 ,6840,290,4.43,598,11.44,4476,1.53,"0
","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
49720,고려신용정보 ,8790,190,2.21,740,11.88,2041,4.31,"275
",기타 사업지원 서비스업
53620,태양 ,9200,80,0.88,881,10.44,19081,0.48,"150
",기타 금속 가공제품 제조업
53690,한미글로벌 ,11750,50,0.43,974,12.06,10889,1.08,"300
","건축기술, 엔지니어링 및 관련 기술 서비스업"
56360,코위버 ,7810,30,0.39,599,13.04,12442,0.63,"80
",통신 및 방송 장비 제조업
65710,서호전기 ,20400,0,0,1319,15.47,14273,1.43,"1000
","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
67920,이글루시큐리티 ,7170,-190,-2.58,526,13.63,4533,1.58,"160
",기타 정보 서비스업
71460,위니아딤채 ,3950,135,3.54,348,11.35,2186,1.81,"0
",가정용 기기 제조업
81660,휠라홀딩스 ,37150,0,0,2306,16.11,21274,1.75,"185
",생활용품 도매업
90350,노루페인트 ,11950,100,0.84,879,13.59,16315,0.73,"275
",기타 화학제품 제조업
92730,네오팜 ,26000,50,0.19,2318,11.22,14343,1.81,"650
",기타 화학제품 제조업
93320,케이아이엔엑스 ,58800,1000,1.73,3156,18.63,22393,2.63,"500
","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
103140,풍산 ,31850,500,1.59,2567,12.41,51539,0.62,"600
",1차 비철금속 제조업
104830,원익머트리얼즈 ,33500,650,1.98,2628,12.75,26857,1.25,"200
",기초 화학물질 제조업
119860,다나와 ,27800,-600,-2.11,2387,11.65,10461,2.66,"600
",소프트웨어 개발 및 공급업
122450,KMH ,8940,60,0.68,718,12.45,5865,1.52,"0
",텔레비전 방송업
126640,화신정공 ,1975,5,0.25,138,14.31,2357,0.84,"30
",자동차 신품 부품 제조업
