종목코드,업종명,종가,등락,등락률,EPS,PER,BPS,PBR,주당 배당금,업종분야
20,동화약품 ,14550,650,4.68,1033,14.09,11860,1.23,"180
",의약품 제조업
2700,신일전자 ,1980,0,0,115,17.22,1059,1.87,"20
",기계장비 및 관련 물품 도매업
6740,영풍제지 ,7020,-180,-2.5,483,14.53,5692,1.23,"40
","골판지, 종이 상자 및 종이용기 제조업"
9180,한솔로지스틱스 ,4455,45,1.02,316,14.1,1989,2.24,"50
",기타 운송관련 서비스업
10050,우리종금 ,1005,8,0.8,89,11.29,605,1.66,"10
",기타 금융업
24090,디씨엠 ,23950,300,1.27,2166,11.06,16153,1.48,"500
",1차 철강 제조업
25530,SJM홀딩스 ,3640,20,0.55,221,16.47,9852,0.37,"100
",자동차 부품 및 내장품 판매업
33290,코웰패션 ,8410,-30,-0.36,697,12.07,3233,2.6,"120
","섬유, 의복, 신발 및 가죽제품 소매업"
39830,오로라 ,10300,-150,-1.44,781,13.19,10226,1.01,"100
",전문디자인업
42500,링네트 ,6540,90,1.4,598,10.94,4476,1.46,"0
","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
49720,고려신용정보 ,9680,80,0.83,740,13.08,2041,4.74,"275
",기타 사업지원 서비스업
53620,태양 ,9180,110,1.21,881,10.42,19081,0.48,"150
",기타 금속 가공제품 제조업
53690,한미글로벌 ,11150,50,0.45,974,11.45,10889,1.02,"300
","건축기술, 엔지니어링 및 관련 기술 서비스업"
56360,코위버 ,7760,150,1.97,599,12.95,12442,0.62,"80
",통신 및 방송 장비 제조업
67920,이글루시큐리티 ,7430,70,0.95,526,14.13,4533,1.64,"160
",기타 정보 서비스업
69080,웹젠 ,30900,50,0.16,2802,11.03,12300,2.51,"0
",소프트웨어 개발 및 공급업
71460,위니아딤채 ,3760,-65,-1.7,348,10.8,2186,1.72,"0
",가정용 기기 제조업
81660,휠라홀딩스 ,37950,-600,-1.56,2306,16.46,21274,1.78,"185
",생활용품 도매업
90350,노루페인트 ,11950,-300,-2.45,879,13.59,16315,0.73,"275
",기타 화학제품 제조업
92730,네오팜 ,26150,200,0.77,2318,11.28,14343,1.82,"650
",기타 화학제품 제조업
93320,케이아이엔엑스 ,54900,600,1.1,3156,17.4,22393,2.45,"500
","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
103140,풍산 ,32800,400,1.23,2567,12.78,51539,0.64,"600
",1차 비철금속 제조업
104830,원익머트리얼즈 ,32350,950,3.03,2628,12.31,26857,1.2,"200
",기초 화학물질 제조업
119860,다나와 ,29250,900,3.17,2387,12.25,10461,2.8,"600
",소프트웨어 개발 및 공급업
122450,KMH ,8470,140,1.68,718,11.8,5865,1.44,"0
",텔레비전 방송업
126640,화신정공 ,2065,5,0.24,138,14.96,2357,0.88,"30
",자동차 신품 부품 제조업
192080,더블유게임즈 ,68100,200,0.29,6634,10.27,36923,1.84,"350
",소프트웨어 개발 및 공급업
