종목코드,업종명,종가,등락,등락률,EPS,PER,BPS,PBR,주당 배당금,업종분야
20,동화약품 ,14300,-50,-0.35,1033,13.84,11860,1.21,"180
",의약품 제조업
2700,신일전자 ,1925,-30,-1.53,115,16.74,1059,1.82,"20
",기계장비 및 관련 물품 도매업
6740,영풍제지 ,6800,-90,-1.31,483,14.08,5692,1.19,"40
","골판지, 종이 상자 및 종이용기 제조업"
9180,한솔로지스틱스 ,4545,-285,-5.9,316,14.38,1989,2.29,"50
",기타 운송관련 서비스업
10050,우리종금 ,973,-18,-1.82,89,10.93,605,1.61,"10
",기타 금융업
24090,디씨엠 ,23100,-250,-1.07,2166,10.66,16153,1.43,"500
",1차 철강 제조업
25530,SJM홀딩스 ,3530,-55,-1.53,221,15.97,9852,0.36,"100
",자동차 부품 및 내장품 판매업
33290,코웰패션 ,8610,-130,-1.49,697,12.35,3233,2.66,"120
","섬유, 의복, 신발 및 가죽제품 소매업"
42500,링네트 ,6450,-140,-2.12,598,10.79,4476,1.44,"0
","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
49720,고려신용정보 ,9580,-130,-1.34,740,12.95,2041,4.69,"275
",기타 사업지원 서비스업
53620,태양 ,9040,-50,-0.55,881,10.26,19081,0.47,"150
",기타 금속 가공제품 제조업
53690,한미글로벌 ,10950,-200,-1.79,974,11.24,10889,1.01,"300
","건축기술, 엔지니어링 및 관련 기술 서비스업"
56360,코위버 ,7540,-110,-1.44,599,12.59,12442,0.61,"80
",통신 및 방송 장비 제조업
65710,서호전기 ,20350,-50,-0.25,1319,15.43,14273,1.43,"1000
","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
67920,이글루시큐리티 ,7330,70,0.96,526,13.94,4533,1.62,"160
",기타 정보 서비스업
71460,위니아딤채 ,3640,-80,-2.15,348,10.46,2186,1.67,"0
",가정용 기기 제조업
81660,휠라홀딩스 ,37300,-1150,-2.99,2306,16.18,21274,1.75,"185
",생활용품 도매업
90350,노루페인트 ,11200,-550,-4.68,879,12.74,16315,0.69,"275
",기타 화학제품 제조업
92730,네오팜 ,25650,-150,-0.58,2318,11.07,14343,1.79,"650
",기타 화학제품 제조업
93320,케이아이엔엑스 ,56100,-1100,-1.92,3156,17.78,22393,2.51,"500
","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
103140,풍산 ,31850,-650,-2,2567,12.41,51539,0.62,"600
",1차 비철금속 제조업
104830,원익머트리얼즈 ,30950,-1000,-3.13,2628,11.78,26857,1.15,"200
",기초 화학물질 제조업
119860,다나와 ,28350,-850,-2.91,2387,11.88,10461,2.71,"600
",소프트웨어 개발 및 공급업
122450,KMH ,8220,-260,-3.07,718,11.45,5865,1.4,"0
",텔레비전 방송업
126640,화신정공 ,2020,-95,-4.49,138,14.64,2357,0.86,"30
",자동차 신품 부품 제조업
192080,더블유게임즈 ,68600,-800,-1.15,6634,10.34,36923,1.86,"350
",소프트웨어 개발 및 공급업
210980,SK디앤디 ,29300,-650,-2.17,2505,11.7,21678,1.35,"600
",부동산 임대 및 공급업
