종목코드,업종명,종가,등락,등락률,EPS,PER,BPS,PBR,주당 배당금,업종분야
20,동화약품 ,13800,-250,-1.78,1033,13.36,11860,1.16,"180
",의약품 제조업
2700,신일전자 ,1980,20,1.02,115,17.22,1059,1.87,"20
",기계장비 및 관련 물품 도매업
6740,영풍제지 ,7080,80,1.14,483,14.66,5692,1.24,"40
","골판지, 종이 상자 및 종이용기 제조업"
9180,한솔로지스틱스 ,4230,-25,-0.59,316,13.39,1989,2.13,"50
",기타 운송관련 서비스업
10050,우리종금 ,1015,-25,-2.4,89,11.4,605,1.68,"10
",기타 금융업
24090,디씨엠 ,27500,750,2.8,2166,12.7,16153,1.7,"500
",1차 철강 제조업
25530,SJM홀딩스 ,3600,50,1.41,221,16.29,9852,0.37,"100
",자동차 부품 및 내장품 판매업
33290,코웰패션 ,8070,-80,-0.98,697,11.58,3233,2.5,"120
","섬유, 의복, 신발 및 가죽제품 소매업"
39830,오로라 ,9970,10,0.1,781,12.77,10226,0.97,"100
",전문디자인업
42500,링네트 ,6550,50,0.77,598,10.95,4476,1.46,"0
","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
49720,고려신용정보 ,8600,-200,-2.27,740,11.62,2041,4.21,"275
",기타 사업지원 서비스업
53620,태양 ,9120,50,0.55,881,10.35,19081,0.48,"150
",기타 금속 가공제품 제조업
53690,한미글로벌 ,11700,-300,-2.5,974,12.01,10889,1.07,"300
","건축기술, 엔지니어링 및 관련 기술 서비스업"
56360,코위버 ,7780,130,1.7,599,12.99,12442,0.63,"80
",통신 및 방송 장비 제조업
65710,서호전기 ,20400,100,0.49,1319,15.47,14273,1.43,"1000
","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
67920,이글루시큐리티 ,7360,10,0.14,526,13.99,4533,1.62,"160
",기타 정보 서비스업
69080,웹젠 ,29200,-2400,-7.59,2802,10.42,12300,2.37,"0
",소프트웨어 개발 및 공급업
71460,위니아딤채 ,3815,95,2.55,348,10.96,2186,1.75,"0
",가정용 기기 제조업
81660,휠라홀딩스 ,37150,-100,-0.27,2306,16.11,21274,1.75,"185
",생활용품 도매업
90350,노루페인트 ,11850,-450,-3.66,879,13.48,16315,0.73,"275
",기타 화학제품 제조업
92730,네오팜 ,25950,350,1.37,2318,11.19,14343,1.81,"650
",기타 화학제품 제조업
93320,케이아이엔엑스 ,57800,-600,-1.03,3156,18.31,22393,2.58,"500
","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
103140,풍산 ,31350,100,0.32,2567,12.21,51539,0.61,"600
",1차 비철금속 제조업
104830,원익머트리얼즈 ,32850,1150,3.63,2628,12.5,26857,1.22,"200
",기초 화학물질 제조업
119860,다나와 ,28400,-1200,-4.05,2387,11.9,10461,2.71,"600
",소프트웨어 개발 및 공급업
122450,KMH ,8880,270,3.14,718,12.37,5865,1.51,"0
",텔레비전 방송업
126640,화신정공 ,1970,30,1.55,138,14.28,2357,0.84,"30
",자동차 신품 부품 제조업
