20,동화약품 ,15400,-250,-1.6,1033,14.91,11860,1.3,"180
"
2700,신일전자 ,1930,-20,-1.03,115,16.78,1059,1.82,"20
"
4690,삼천리 ,93200,100,0.11,9248,10.08,317378,0.29,"3000
"
6740,영풍제지 ,7010,-20,-0.28,483,14.51,5692,1.23,"40
"
8490,서흥 ,47750,100,0.21,4766,10.02,29221,1.63,"450
"
9180,한솔로지스틱스 ,5090,80,1.6,316,16.11,1989,2.56,"50
"
10050,우리종금 ,1005,-10,-0.99,89,11.29,605,1.66,"10
"
19010,베뉴지 ,2225,-45,-1.98,216,10.3,5453,0.41,"30
"
24090,디씨엠 ,23400,850,3.77,2166,10.8,16153,1.45,"500
"
25530,SJM홀딩스 ,3805,5,0.13,221,17.22,9852,0.39,"100
"
33290,코웰패션 ,8940,-200,-2.19,697,12.83,3233,2.77,"120
"
39830,오로라 ,10100,-50,-0.49,781,12.93,10226,0.99,"100
"
42500,링네트 ,6560,-130,-1.94,598,10.97,4476,1.47,"0
"
49720,고려신용정보 ,9800,-60,-0.61,740,13.24,2041,4.8,"275
"
53620,태양 ,9070,20,0.22,881,10.3,19081,0.48,"150
"
53690,한미글로벌 ,10650,100,0.95,974,10.93,10889,0.98,"300
"
56360,코위버 ,7840,-50,-0.63,599,13.09,12442,0.63,"80
"
65710,서호전기 ,20400,-50,-0.24,1319,15.47,14273,1.43,"1000
"
67900,와이엔텍 ,12300,50,0.41,1203,10.22,8637,1.42,"0
"
67920,이글루시큐리티 ,7430,-70,-0.93,526,14.13,4533,1.64,"160
"
71460,위니아딤채 ,3775,0,0,348,10.85,2186,1.73,"0
"
81660,휠라홀딩스 ,36550,-450,-1.22,2306,15.85,21274,1.72,"185
"
90350,노루페인트 ,10100,-300,-2.88,879,11.49,16315,0.62,"275
"
92730,네오팜 ,26500,-350,-1.3,2318,11.43,14343,1.85,"650
"
93320,케이아이엔엑스 ,48050,200,0.42,3156,15.22,22393,2.15,"500
"
103140,풍산 ,33250,-450,-1.34,2567,12.95,51539,0.65,"600
"
104830,원익머트리얼즈 ,31800,-350,-1.09,2628,12.1,26857,1.18,"200
"
119860,다나와 ,28400,-200,-0.7,2387,11.9,10461,2.71,"600
"
122450,KMH ,8640,-200,-2.26,718,12.03,5865,1.47,"0
"
126640,화신정공 ,2200,-65,-2.87,138,15.94,2357,0.93,"30
"
