종목코드,업종명,종가,등락,등락률,EPS,PER,BPS,PBR,주당 배당금,업종분야
20,동화약품 ,13650,-650,-4.55,1033,13.21,11860,1.15,"180
",의약품 제조업
2700,신일전자 ,1950,25,1.3,115,16.96,1059,1.84,"20
",기계장비 및 관련 물품 도매업
6740,영풍제지 ,6710,-90,-1.32,483,13.89,5692,1.18,"40
","골판지, 종이 상자 및 종이용기 제조업"
9180,한솔로지스틱스 ,4445,-100,-2.2,316,14.07,1989,2.23,"50
",기타 운송관련 서비스업
10050,우리종금 ,970,-3,-0.31,89,10.9,605,1.6,"10
",기타 금융업
24090,디씨엠 ,22700,-400,-1.73,2166,10.48,16153,1.41,"500
",1차 철강 제조업
25530,SJM홀딩스 ,3490,-40,-1.13,221,15.79,9852,0.35,"100
",자동차 부품 및 내장품 판매업
33290,코웰패션 ,8480,-130,-1.51,697,12.17,3233,2.62,"120
","섬유, 의복, 신발 및 가죽제품 소매업"
39830,오로라 ,10450,-400,-3.69,781,13.38,10226,1.02,"100
",전문디자인업
42500,링네트 ,6350,-100,-1.55,598,10.62,4476,1.42,"0
","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
49720,고려신용정보 ,9530,-50,-0.52,740,12.88,2041,4.67,"275
",기타 사업지원 서비스업
53620,태양 ,9060,20,0.22,881,10.28,19081,0.47,"150
",기타 금속 가공제품 제조업
53690,한미글로벌 ,10700,-250,-2.28,974,10.99,10889,0.98,"300
","건축기술, 엔지니어링 및 관련 기술 서비스업"
56360,코위버 ,7540,0,0,599,12.59,12442,0.61,"80
",통신 및 방송 장비 제조업
65710,서호전기 ,20100,-250,-1.23,1319,15.24,14273,1.41,"1000
","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
67920,이글루시큐리티 ,7170,-160,-2.18,526,13.63,4533,1.58,"160
",기타 정보 서비스업
69080,웹젠 ,30350,4700,18.32,2802,10.83,12300,2.47,"0
",소프트웨어 개발 및 공급업
71460,위니아딤채 ,3635,-5,-0.14,348,10.45,2186,1.66,"0
",가정용 기기 제조업
81660,휠라홀딩스 ,36650,-650,-1.74,2306,15.89,21274,1.72,"185
",생활용품 도매업
90350,노루페인트 ,12150,950,8.48,879,13.82,16315,0.74,"275
",기타 화학제품 제조업
92730,네오팜 ,25750,100,0.39,2318,11.11,14343,1.8,"650
",기타 화학제품 제조업
93320,케이아이엔엑스 ,56000,-100,-0.18,3156,17.74,22393,2.5,"500
","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
103140,풍산 ,31400,-450,-1.41,2567,12.23,51539,0.61,"600
",1차 비철금속 제조업
104830,원익머트리얼즈 ,30450,-500,-1.62,2628,11.59,26857,1.13,"200
",기초 화학물질 제조업
119860,다나와 ,27550,-800,-2.82,2387,11.54,10461,2.63,"600
",소프트웨어 개발 및 공급업
122450,KMH ,8260,40,0.49,718,11.5,5865,1.41,"0
",텔레비전 방송업
126640,화신정공 ,1995,-25,-1.24,138,14.46,2357,0.85,"30
",자동차 신품 부품 제조업
192080,더블유게임즈 ,72800,4200,6.12,6634,10.97,36923,1.97,"350
",소프트웨어 개발 및 공급업
210980,SK디앤디 ,29450,150,0.51,2505,11.76,21678,1.36,"600
",부동산 임대 및 공급업
