종목코드,업종명,종가,등락,등락률,EPS,PER,BPS,PBR,주당 배당금,업종분야
20,동화약품 ,13450,-350,-2.54,1033,13.02,11860,1.13,"180
",의약품 제조업
2700,신일전자 ,2065,-30,-1.43,115,17.96,1059,1.95,"20
",기계장비 및 관련 물품 도매업
6740,영풍제지 ,7170,130,1.85,483,14.84,5692,1.26,"40
","골판지, 종이 상자 및 종이용기 제조업"
9180,한솔로지스틱스 ,4260,-25,-0.58,316,13.48,1989,2.14,"50
",기타 운송관련 서비스업
10050,우리종금 ,985,-3,-0.3,89,11.07,605,1.63,"10
",기타 금융업
19010,베뉴지 ,2240,95,4.43,216,10.37,5453,0.41,"30
",종합 소매업
24090,디씨엠 ,28450,100,0.35,2166,13.13,16153,1.76,"500
",1차 철강 제조업
25530,SJM홀딩스 ,3580,-45,-1.24,221,16.2,9852,0.36,"100
",자동차 부품 및 내장품 판매업
33290,코웰패션 ,7930,10,0.13,697,11.38,3233,2.45,"120
","섬유, 의복, 신발 및 가죽제품 소매업"
39830,오로라 ,9830,-70,-0.71,781,12.59,10226,0.96,"100
",전문디자인업
42500,링네트 ,6880,140,2.08,598,11.51,4476,1.54,"0
","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
49720,고려신용정보 ,8900,-10,-0.11,740,12.03,2041,4.36,"275
",기타 사업지원 서비스업
53620,태양 ,9080,-50,-0.55,881,10.31,19081,0.48,"150
",기타 금속 가공제품 제조업
53690,한미글로벌 ,11600,100,0.87,974,11.91,10889,1.07,"300
","건축기술, 엔지니어링 및 관련 기술 서비스업"
56360,코위버 ,8010,260,3.35,599,13.37,12442,0.64,"80
",통신 및 방송 장비 제조업
65710,서호전기 ,20400,-50,-0.24,1319,15.47,14273,1.43,"1000
","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
67920,이글루시큐리티 ,7160,110,1.56,526,13.61,4533,1.58,"160
",기타 정보 서비스업
71460,위니아딤채 ,3975,-250,-5.92,348,11.42,2186,1.82,"0
",가정용 기기 제조업
81660,휠라홀딩스 ,37200,-100,-0.27,2306,16.13,21274,1.75,"185
",생활용품 도매업
90350,노루페인트 ,11450,-100,-0.87,879,13.03,16315,0.7,"275
",기타 화학제품 제조업
92730,네오팜 ,25850,-200,-0.77,2318,11.15,14343,1.8,"650
",기타 화학제품 제조업
93320,케이아이엔엑스 ,58300,1900,3.37,3156,18.47,22393,2.6,"500
","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
103140,풍산 ,31650,-150,-0.47,2567,12.33,51539,0.61,"600
",1차 비철금속 제조업
104830,원익머트리얼즈 ,33850,800,2.42,2628,12.88,26857,1.26,"200
",기초 화학물질 제조업
119860,다나와 ,29300,1050,3.72,2387,12.27,10461,2.8,"600
",소프트웨어 개발 및 공급업
122450,KMH ,9120,0,0,718,12.7,5865,1.55,"0
",텔레비전 방송업
126640,화신정공 ,1980,-15,-0.75,138,14.35,2357,0.84,"30
",자동차 신품 부품 제조업
210980,SK디앤디 ,29350,-400,-1.34,2505,11.72,21678,1.35,"600
",부동산 임대 및 공급업
