종목코드,업종분야,종가,등락,등락률,EPS,PER,BPS,PBR,주당 배당금,업종명
20,동화약품 ,14500,-50,-0.34,1033,14.04,11860,1.22,"180
",의약품 제조업
2700,신일전자 ,1980,0,0,115,17.22,1059,1.87,"20
",기계장비 및 관련 물품 도매업
6740,영풍제지 ,6990,-30,-0.43,483,14.47,5692,1.23,"40
","골판지, 종이 상자 및 종이용기 제조업"
9180,한솔로지스틱스 ,4400,-55,-1.23,316,13.92,1989,2.21,"50
",기타 운송관련 서비스업
10050,우리종금 ,1030,25,2.49,89,11.57,605,1.7,"10
",기타 금융업
24090,디씨엠 ,24300,350,1.46,2166,11.22,16153,1.5,"500
",1차 철강 제조업
25530,SJM홀딩스 ,3670,30,0.82,221,16.61,9852,0.37,"100
",자동차 부품 및 내장품 판매업
33290,코웰패션 ,8300,-110,-1.31,697,11.91,3233,2.57,"120
","섬유, 의복, 신발 및 가죽제품 소매업"
39830,오로라 ,10100,-200,-1.94,781,12.93,10226,0.99,"100
",전문디자인업
42500,링네트 ,6360,-180,-2.75,598,10.64,4476,1.42,"0
","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
49720,고려신용정보 ,9110,-570,-5.89,740,12.31,2041,4.46,"275
",기타 사업지원 서비스업
53620,태양 ,9170,-10,-0.11,881,10.41,19081,0.48,"150
",기타 금속 가공제품 제조업
53690,한미글로벌 ,11750,600,5.38,974,12.06,10889,1.08,"300
","건축기술, 엔지니어링 및 관련 기술 서비스업"
56360,코위버 ,7640,-120,-1.55,599,12.75,12442,0.61,"80
",통신 및 방송 장비 제조업
67920,이글루시큐리티 ,7370,-60,-0.81,526,14.01,4533,1.63,"160
",기타 정보 서비스업
69080,웹젠 ,30750,-150,-0.49,2802,10.97,12300,2.5,"0
",소프트웨어 개발 및 공급업
71460,위니아딤채 ,3770,10,0.27,348,10.83,2186,1.72,"0
",가정용 기기 제조업
81660,휠라홀딩스 ,37950,0,0,2306,16.46,21274,1.78,"185
",생활용품 도매업
90350,노루페인트 ,11950,0,0,879,13.59,16315,0.73,"275
",기타 화학제품 제조업
92730,네오팜 ,25800,-350,-1.34,2318,11.13,14343,1.8,"650
",기타 화학제품 제조업
93320,케이아이엔엑스 ,59000,4100,7.47,3156,18.69,22393,2.63,"500
","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
103140,풍산 ,32400,-400,-1.22,2567,12.62,51539,0.63,"600
",1차 비철금속 제조업
104830,원익머트리얼즈 ,31850,-500,-1.55,2628,12.12,26857,1.19,"200
",기초 화학물질 제조업
119860,다나와 ,29050,-200,-0.68,2387,12.17,10461,2.78,"600
",소프트웨어 개발 및 공급업
122450,KMH ,8970,500,5.9,718,12.49,5865,1.53,"0
",텔레비전 방송업
126640,화신정공 ,2005,-60,-2.91,138,14.53,2357,0.85,"30
",자동차 신품 부품 제조업
192080,더블유게임즈 ,68000,-100,-0.15,6634,10.25,36923,1.84,"350
",소프트웨어 개발 및 공급업
