종목코드,업종명,종가,등락,등락률,EPS,PER,BPS,PBR,주당 배당금,업종분야
20,동화약품 ,13450,0,0,1033,13.02,11860,1.13,"180
",의약품 제조업
2700,신일전자 ,2090,25,1.21,115,18.17,1059,1.97,"20
",기계장비 및 관련 물품 도매업
3550,LG ,84600,-1900,-2.2,8338,10.15,115188,0.73,"2500
",기타 금융업
6740,영풍제지 ,7050,-120,-1.67,483,14.6,5692,1.24,"40
","골판지, 종이 상자 및 종이용기 제조업"
9180,한솔로지스틱스 ,4345,85,2,316,13.75,1989,2.18,"50
",기타 운송관련 서비스업
10050,우리종금 ,983,-2,-0.2,89,11.04,605,1.62,"10
",기타 금융업
19010,베뉴지 ,2220,-20,-0.89,216,10.28,5453,0.41,"30
",종합 소매업
24090,디씨엠 ,28700,250,0.88,2166,13.25,16153,1.78,"500
",1차 철강 제조업
25530,SJM홀딩스 ,3525,-55,-1.54,221,15.95,9852,0.36,"100
",자동차 부품 및 내장품 판매업
33290,코웰패션 ,7830,-100,-1.26,697,11.23,3233,2.42,"120
","섬유, 의복, 신발 및 가죽제품 소매업"
39830,오로라 ,9770,-60,-0.61,781,12.51,10226,0.96,"100
",전문디자인업
42500,링네트 ,6730,-150,-2.18,598,11.25,4476,1.5,"0
","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
49720,고려신용정보 ,8700,-200,-2.25,740,11.76,2041,4.26,"275
",기타 사업지원 서비스업
53620,태양 ,9000,-80,-0.88,881,10.22,19081,0.47,"150
",기타 금속 가공제품 제조업
53690,한미글로벌 ,11600,0,0,974,11.91,10889,1.07,"300
","건축기술, 엔지니어링 및 관련 기술 서비스업"
56360,코위버 ,8000,-10,-0.12,599,13.36,12442,0.64,"80
",통신 및 방송 장비 제조업
65710,서호전기 ,20300,-100,-0.49,1319,15.39,14273,1.42,"1000
","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
67920,이글루시큐리티 ,7260,100,1.4,526,13.8,4533,1.6,"160
",기타 정보 서비스업
71460,위니아딤채 ,3860,-115,-2.89,348,11.09,2186,1.77,"0
",가정용 기기 제조업
81660,휠라홀딩스 ,36650,-550,-1.48,2306,15.89,21274,1.72,"185
",생활용품 도매업
90350,노루페인트 ,11100,-350,-3.06,879,12.63,16315,0.68,"275
",기타 화학제품 제조업
92730,네오팜 ,25800,-50,-0.19,2318,11.13,14343,1.8,"650
",기타 화학제품 제조업
93320,케이아이엔엑스 ,57400,-900,-1.54,3156,18.19,22393,2.56,"500
","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
103140,풍산 ,32200,550,1.74,2567,12.54,51539,0.62,"600
",1차 비철금속 제조업
104830,원익머트리얼즈 ,33250,-600,-1.77,2628,12.65,26857,1.24,"200
",기초 화학물질 제조업
119860,다나와 ,29200,-100,-0.34,2387,12.23,10461,2.79,"600
",소프트웨어 개발 및 공급업
122450,KMH ,8960,-160,-1.75,718,12.48,5865,1.53,"0
",텔레비전 방송업
126640,화신정공 ,1930,-50,-2.53,138,13.99,2357,0.82,"30
",자동차 신품 부품 제조업
