종목코드,업종명,종가,등락,등락률,EPS,PER,BPS,PBR,주당 배당금,업종분야
20,동화약품 ,14050,150,1.08,1033,13.6,11860,1.18,"180
",의약품 제조업
2700,신일전자 ,1960,0,0,115,17.04,1059,1.85,"20
",기계장비 및 관련 물품 도매업
3550,LG ,84600,-3500,-3.97,8338,10.15,115188,0.73,"2500
",기타 금융업
6740,영풍제지 ,7000,30,0.43,483,14.49,5692,1.23,"40
","골판지, 종이 상자 및 종이용기 제조업"
9180,한솔로지스틱스 ,4255,5,0.12,316,13.47,1989,2.14,"50
",기타 운송관련 서비스업
10050,우리종금 ,1040,-5,-0.48,89,11.69,605,1.72,"10
",기타 금융업
24090,디씨엠 ,26750,1750,7,2166,12.35,16153,1.66,"500
",1차 철강 제조업
25530,SJM홀딩스 ,3550,-25,-0.7,221,16.06,9852,0.36,"100
",자동차 부품 및 내장품 판매업
33290,코웰패션 ,8150,-10,-0.12,697,11.69,3233,2.52,"120
","섬유, 의복, 신발 및 가죽제품 소매업"
39830,오로라 ,9960,-90,-0.9,781,12.75,10226,0.97,"100
",전문디자인업
42500,링네트 ,6500,-70,-1.07,598,10.87,4476,1.45,"0
","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
49720,고려신용정보 ,8800,-180,-2,740,11.89,2041,4.31,"275
",기타 사업지원 서비스업
53620,태양 ,9070,0,0,881,10.3,19081,0.48,"150
",기타 금속 가공제품 제조업
53690,한미글로벌 ,12000,250,2.13,974,12.32,10889,1.1,"300
","건축기술, 엔지니어링 및 관련 기술 서비스업"
56360,코위버 ,7650,90,1.19,599,12.77,12442,0.61,"80
",통신 및 방송 장비 제조업
65710,서호전기 ,20300,-150,-0.73,1319,15.39,14273,1.42,"1000
","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
67920,이글루시큐리티 ,7350,130,1.8,526,13.97,4533,1.62,"160
",기타 정보 서비스업
69080,웹젠 ,31600,-600,-1.86,2802,11.28,12300,2.57,"0
",소프트웨어 개발 및 공급업
71460,위니아딤채 ,3720,-30,-0.8,348,10.69,2186,1.7,"0
",가정용 기기 제조업
81660,휠라홀딩스 ,37250,-750,-1.97,2306,16.15,21274,1.75,"185
",생활용품 도매업
90350,노루페인트 ,12300,350,2.93,879,13.99,16315,0.75,"275
",기타 화학제품 제조업
92730,네오팜 ,25600,-100,-0.39,2318,11.04,14343,1.78,"650
",기타 화학제품 제조업
93320,케이아이엔엑스 ,58400,-1600,-2.67,3156,18.5,22393,2.61,"500
","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
103140,풍산 ,31250,-350,-1.11,2567,12.17,51539,0.61,"600
",1차 비철금속 제조업
104830,원익머트리얼즈 ,31700,-500,-1.55,2628,12.06,26857,1.18,"200
",기초 화학물질 제조업
122450,KMH ,8610,-310,-3.48,718,11.99,5865,1.47,"0
",텔레비전 방송업
126640,화신정공 ,1940,-10,-0.51,138,14.06,2357,0.82,"30
",자동차 신품 부품 제조업
