종목코드,업종명,종가,등락,등락률,EPS,PER,BPS,PBR,주당 배당금,업종분야
20,동화약품 ,13900,250,1.83,1033,13.46,11860,1.17,"180
",의약품 제조업
2700,신일전자 ,1980,30,1.54,115,17.22,1059,1.87,"20
",기계장비 및 관련 물품 도매업
6740,영풍제지 ,7200,490,7.3,483,14.91,5692,1.26,"40
","골판지, 종이 상자 및 종이용기 제조업"
9180,한솔로지스틱스 ,4410,-35,-0.79,316,13.96,1989,2.22,"50
",기타 운송관련 서비스업
10050,우리종금 ,997,27,2.78,89,11.2,605,1.65,"10
",기타 금융업
24090,디씨엠 ,23650,950,4.19,2166,10.92,16153,1.46,"500
",1차 철강 제조업
25530,SJM홀딩스 ,3620,130,3.72,221,16.38,9852,0.37,"100
",자동차 부품 및 내장품 판매업
33290,코웰패션 ,8440,-40,-0.47,697,12.11,3233,2.61,"120
","섬유, 의복, 신발 및 가죽제품 소매업"
39830,오로라 ,10450,0,0,781,13.38,10226,1.02,"100
",전문디자인업
42500,링네트 ,6450,100,1.57,598,10.79,4476,1.44,"0
","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
49720,고려신용정보 ,9600,70,0.73,740,12.97,2041,4.7,"275
",기타 사업지원 서비스업
53620,태양 ,9070,10,0.11,881,10.3,19081,0.48,"150
",기타 금속 가공제품 제조업
53690,한미글로벌 ,11100,400,3.74,974,11.4,10889,1.02,"300
","건축기술, 엔지니어링 및 관련 기술 서비스업"
56360,코위버 ,7610,70,0.93,599,12.7,12442,0.61,"80
",통신 및 방송 장비 제조업
65710,서호전기 ,20200,100,0.5,1319,15.31,14273,1.42,"1000
","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
67920,이글루시큐리티 ,7360,190,2.65,526,13.99,4533,1.62,"160
",기타 정보 서비스업
69080,웹젠 ,30850,500,1.65,2802,11.01,12300,2.51,"0
",소프트웨어 개발 및 공급업
71460,위니아딤채 ,3825,190,5.23,348,10.99,2186,1.75,"0
",가정용 기기 제조업
81660,휠라홀딩스 ,38550,1900,5.18,2306,16.72,21274,1.81,"185
",생활용품 도매업
90350,노루페인트 ,12250,100,0.82,879,13.94,16315,0.75,"275
",기타 화학제품 제조업
92730,네오팜 ,25950,200,0.78,2318,11.19,14343,1.81,"650
",기타 화학제품 제조업
93320,케이아이엔엑스 ,54300,-1700,-3.04,3156,17.21,22393,2.42,"500
","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
103140,풍산 ,32400,1000,3.18,2567,12.62,51539,0.63,"600
",1차 비철금속 제조업
104830,원익머트리얼즈 ,31400,950,3.12,2628,11.95,26857,1.17,"200
",기초 화학물질 제조업
119860,다나와 ,28350,800,2.9,2387,11.88,10461,2.71,"600
",소프트웨어 개발 및 공급업
122450,KMH ,8330,70,0.85,718,11.6,5865,1.42,"0
",텔레비전 방송업
126640,화신정공 ,2060,65,3.26,138,14.93,2357,0.87,"30
",자동차 신품 부품 제조업
192080,더블유게임즈 ,67900,-4900,-6.73,6634,10.24,36923,1.84,"350
",소프트웨어 개발 및 공급업
